KING'S LYNN (TECHNICAL COLLEGE),,,,,,,,,,,,
Grid ref,TF626203,Long,0.407984,Lat,52.755844,,,,,,,
Station no,1473/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,2.08,3.98,2.12,2.50,3.37,,,
February,,,,,3.06,1.64,3.18,4.04,0.14,,,
March,,,,,2.04,0.81,2.13,1.02,1.74,,,
April,,,,,0.83,0.88,0.24,0.69,1.20,,,
May,,,,,2.87,0.81,1.66,3.45,0.84,,,
June,,,,,2.02,2.17,2.06,2.77,0.73,,,
July,,,,,0.26,2.60,1.63,4.56,2.13,,,
August,,,,,0.50,4.64,1.98,2.24,1.95,,,
September,,,,,1.26,1.41,3.92,3.11,0.03,,,
October,,,,,2.53,1.18,1.58,2.19,2.03,,,
November,,,,,1.13,0.84,1.28,1.14,1.24,,,
December,,,,,1.46,1.92,1.93,2.83,4.18,,,
Total,,,,,20.04,22.88,23.71,30.54,19.58,,,
Calc annual,0.00,0.00,0.00,0.00,20.04,22.88,23.71,30.54,19.58,0.00,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,NaN,,
