"BODICOTE HOUSE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR4372,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.75,2.21,3.48,1.69,2.80,1.27,,,,,,
February,0.74,0.31,2.45,4.51,0.42,3.69,,,,,,
March,2.43,1.22,1.88,1.70,1.17,0.51,,,,,,
April,5.28,1.09,2.87,2.21,2.88,1.87,,,,,,
May,1.92,1.85,0.66,1.22,5.36,2.87,,,,,,
June,2.55,0.62,0.78,0.52,1.75,,,,,,,
July,3.51,0.31,4.52,2.14,3.57,,,,,,,
August,0.90,2.17,4.51,1.74,2.46,,,,,,,
September,1.90,1.38,2.52,3.30,4.12,,,,,,,
October,2.00,1.10,0.66,4.50,3.77,,,,,,,
November,0.89,2.03,1.36,1.62,2.38,,,,,,,
December,2.20,1.62,3.52,3.00,3.60,,,,,,,
Total,27.07,15.91,29.21,28.15,34.28,,,,,,,
Calc annual,27.07,15.91,29.21,28.15,34.28,10.21,0.00,0.00,0.00,0.00,0.00,
Difference,0.00,0.00,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,
