"MASHAM MOOR (LOW HOUSES)",,,,,,,,,,,,
Grid ref,SE137812,Long,-1.791362,Lat,54.226336,,,,,,,
Station no,3416,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.29,3.53,0.82,3.31,2.98,4.80,3.02,4.15,4.20,4.93,,
February,4.89,0.66,3.80,3.83,2.33,2.74,2.89,6.92,0.17,5.00,,
March,4.89,2.33,0.26,2.01,2.16,1.53,1.49,2.81,1.89,2.80,,
April,2.64,1.85,2.79,0.48,0.74,2.00,0.42,1.19,4.21,2.08,,
May,8.82,1.80,2.76,4.69,3.41,0.67,1.70,4.37,1.25,1.50,,
June,0.96,1.15,2.97,2.57,3.18,2.82,1.25,3.91,1.84,0.73,,
July,1.40,1.24,3.50,2.04,0.95,4.94,4.79,3.36,1.91,3.95,,
August,5.70,3.75,3.13,7.03,1.08,8.10,6.45,4.21,0.79,3.28,,
September,1.75,4.51,3.01,4.14,1.66,4.52,3.93,3.30,0.13,4.45,,
October,1.86,4.19,2.08,6.74,2.15,2.06,3.18,3.14,4.16,8.24,,
November,10.57,2.70,2.76,8.08,2.91,0.55,2.58,0.98,6.17,6.26,,
December,5.57,2.35,1.76,3.21,4.93,3.57,3.76,4.97,8.22,5.17,,
Total,52.34,30.06,29.64,48.13,28.48,38.30,35.46,43.31,34.94,48.39,,
Calc annual,52.34,30.06,29.64,48.13,28.48,38.30,35.46,43.31,34.94,48.39,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
