"MASHAM MOOR LOW HOUSE 8"" gauge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE137813,Long,-1.791357,Lat,54.227235,,693,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,,,6.74,2.07,1.7,1.56,5.04,1.79,1.28,1.65,1.69,7.08,4.65,2.18,1.46,5.3,4.87,1.61,5.38,1.7,2.93,
February,,,,,,,,,,,1.39,0.07,2.7,4.48,7.86,1.31,0.68,3.6,2.88,3.03,6.09,1.37,1.57,5.42,4.39,2.5,2.77,2.59,,
March,,,,,,,,,,,3.03,2.25,0.87,2.65,3.7,3.88,4.35,6.94,1.59,1.8,1.38,3.59,1.71,8.24,2.92,3.3,2.68,3.46,,
April,,,,,,,,,,,1.39,3.71,1.89,0.67,2.21,3.24,1.63,2.34,3.65,3.44,2.25,2.42,1.63,1.75,2.46,4.25,0.78,1.93,,
May,,,,,,,,,,0.88,2.36,3.19,3.2,2.25,2.31,0.92,0.64,1.35,2.48,4.14,2.18,1.7,2.85,5.65,4.28,0.7,5.12,5.5,,
June,,,,,,,,,,0.17,3.46,1.04,4.38,1.49,3.44,2.37,3.51,2.47,2.51,1.56,3.03,1.69,1.7,2.84,1.67,1.26,1.26,4.5,,
July,,,,,,,,,,3.02,2.08,4.58,1.62,1.99,3.12,6.53,2.05,0.9,0.62,2.84,1.96,4.81,2.28,3.55,1.73,0.58,1.33,2.68,,
August,,,,,,,,,,4.56,5.35,4.66,3.75,3.5,2.85,2.76,2.27,4.13,3.18,1.57,7.42,1.64,1.99,3.74,3.89,4.04,2.66,1.93,,
September,,,,,,,,,,0.75,1.92,2.9,2.22,2.01,0.7,1.55,6.99,2.79,1.09,4.8,0.7,1.41,1.91,4.53,1.2,2.63,0.52,0.6,,
October,,,,,,,,,,6.32,1.29,4.51,8.88,2.49,6.58,3.97,5.09,1.9,6.57,3.86,5.79,1.45,4.22,9.57,1.04,1.9,7.78,7.68,,
November,,,,,,,,,,0.88,4.14,4.33,2,2.53,2.12,7.11,1.45,2.96,3.04,4.08,3.86,4.85,2.54,1.43,1.74,6.82,4.3,2.88,,
December,,,,,,,,,,1.6,1.29,7.07,0.56,4.61,3.51,3.25,5.28,6.47,4.62,3.04,4.29,4.78,4.43,3.23,2.31,1.24,2.15,4.61,,
Total,,,,,,,,,,,34.44,40.38,33.77,30.23,43.44,38.68,35.22,37.5,33.92,41.24,43.6,31.89,28.29,55.25,32.5,30.83,36.73,40.06,,
