BLOODY FORELAND TULLAGHOBEGLEY (Ardnadrean),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IB919322,Long,-8.12765,Lat,55.138,Elevation,39,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,3.25,4.08,4.2,3.85,4.3,7.3,3.12,4.8,1.45,7,3.32,4,1.25,3.3,,5.77,3.06,4.8,5.2,6.71,4.3,7.75,3.3,3.6,7.3
February,,,,,,3.83,3.59,5.49,1.86,4,0.42,0.7,1.16,6.6,7.8,1.26,4.12,3.4,5.35,,4.06,2.66,,5.72,2.59,4.03,6,4.15,4.62,1.6
March,,,,,,2.91,1.62,2.3,2.86,2.6,4,4.05,1.2,1.66,3.7,5.7,5.65,7.2,5.45,,1.25,3,,5.51,5.06,4.09,4,4.67,4.8,3.05
April,,,,,,1.53,2.47,2.11,2.49,4.22,-999,0.7,4,1.22,2,1.07,2.78,2.77,2.5,,3.6,2,1.21,2.84,2.4,2.3,2.84,3.15,1.6,2.35
May,,,,,,2.21,2.55,2.39,3.4,3.45,-999,3,6,1.5,3,0.8,1,3.5,5.7,1.95,3.5,1.45,4.45,3.1,1.7,1.5,3.3,3.5,4,2
June,,,,,,1.35,1.32,0.09,3.46,0,-999,2,4.01,0,2.7,2.12,3,5,,2.82,4,1.75,1.05,0.8,1,2,1.02,3.35,2.75,2.15
July,,,,,,1.98,2.28,3.16,6.2,4.41,4.1,2.65,1.5,3.74,5.1,4.7,3.3,3.4,,2.16,2.28,1.1,3.35,3.58,2,2.2,1.75,2.85,3,5
August,,,,,,1.96,2.01,4.57,6.72,2.25,4,8.8,4.75,5,3.7,4.45,4,7,3.8,2.23,4.5,7.12,2.3,7.3,6,5.05,4.5,6,6.35,3.25
September,,,,,,5.38,3.58,5.85,1.73,4.9,5.15,3.3,5.32,7.78,0.42,5,6,1.5,4.31,5.5,3.8,2.5,3.5,2.47,3.5,2.67,2.19,1.5,8,2.21
October,,,,,,3.73,6.87,4.42,3,4.32,6.73,7,1.97,6,3.7,5,7,3.12,5.35,2.42,6.7,4,3.33,8.3,5.05,3.7,5,6.2,1.2,7
November,,,,,,3,5.3,4.48,5.65,-999,5,6,2.5,-999,5,6.5,1.85,2.1,4.83,5.5,5.3,7.72,4.5,4,4.85,4.81,5.2,5.1,4.1,3.8
December,,,,,,3.22,5.87,4.8,3.7,-999,4.33,5,6.9,-999,,3.5,5.14,3.7,10,4.3,7,6.25,,4.3,4.5,6.1,6.63,6.8,6.3,4.66
Total,,,,,,34.35,41.54,43.86,44.92,41.75,48.43,46.32,44.11,44.95,,43.42,47.84,43.94,53.84,,51.76,42.61,,53.12,45.36,42.75,50.18,50.57,50.32,44.37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889 Nov/Dec bracketed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890 Apr/May/June bracketed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1893 Nov/Dec bracketed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1894 Dec estimated - gauge blown away and records lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1902 Feb, Mar, Dec estimated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
