BALA-CRAIG-NANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SH829424,Long,-3.7449927,Lat,52.966135,Elevation,1050,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,05/05/4327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,11.63,2.32,3.01,7.53,12.18,,,13.5,8.77,20.62,7.33,4.71,5.38,,,7.83,,,,,9.9,10.97
February,,,,,,,,,9.41,4.5,8.32,2.69,8.6,3.83,11.88,14.86,1.79,9.82,4.97,11.61,5.51,3.93,,6.37,,,,,1.33,7.47
March,,,,,,,,,4.95,6.44,6.63,3.9,2.8,1.8,2.44,2.54,10.41,5.85,4.17,4.22,8.47,3.18,,5.17,,,,0.26,4.37,1.92
April,,,,,,,,,4.96,4.03,2.04,4.36,4.03,5.16,4.52,2.19,6.7,4.33,7.81,6,6.08,4.02,2.38,2.6,,,1.32,0.6,8.11,5.24
May,,,,,,,,,1.15,3.45,2.76,5.47,4.75,5.56,5.62,3.31,4.52,2.56,6.64,2.12,2.62,2.93,3.03,6,,,2.97,6.25,1.92,1.9
June,,,,,,,,,4.44,1.08,0.82,0.5,7.5,6.12,5.11,5.99,3.7,8.66,1.57,4.06,1.2,,,5.69,,,,,2.7,3.31
July,,,,,,,,,10.08,5.64,1.8,7.81,6.16,4.78,2.6,3.58,4.97,3.31,3.24,8.87,2.84,2.02,8.23,9.28,,,,2.94,5.44,5.89
August,,,,,,,,,2.72,1.3,7.31,6.66,9.99,4.64,,8.07,0.85,9.4,5.75,11.01,6.32,6.83,8.16,10.67,,,,3.17,0.89,5
September,,,,,,,,,1.9,7.27,1.57,5.7,5.39,9.05,2.56,7.31,4.34,7.83,2.18,12.51,9.22,7.02,10.55,7.27,,,,,0.83,8.01
October,,,,,,,,,4.35,8.42,10.02,7.91,4.37,9.44,6.91,,1.84,6.49,13.08,7.07,2.38,10.3,,16.33,,,,8.11,10.52,6.39
November,,,,,,,,,16.23,14.25,3.58,1.56,6.41,12.42,0.76,,15.23,6.11,10.17,7.34,14.86,5.8,15.91,16.62,,,,2.73,7.12,15.36
December,,,,,,,,,6.79,7.14,,8.83,3.44,10.28,6.19,10.32,8.64,10.28,17.98,6.84,13.23,8.04,3.36,10.27,,,,6.47,15.89,
Total,,,,,,,,,78.61,65.84,,62.92,75.62,,,,71.76,95.26,84.89,86.36,78.11,,,104.1,,,,,69.02,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is close to Craig Nant. Altitudes match. Gauge moved 200m NE closer to house in 1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951 total edited to match sum ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
