"ILFRACOMBE RESERVOIR",,,,,,,,,,,,
Grid ref,SS522445,Long,-4.115965,Lat,51.180574,,,,,,,
Station no,1828,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,3.24,,2.86,,
February,,,,,,,,2.72,,0.60,,
March,,,,,,,,1.56,,4.89,,
April,,,,,,,,4.50,,3.40,,
May,,,,,,,,3.26,,2.11,,
June,,,,,,,,4.98,,2.27,,
July,,,,,,,,3.65,,3.31,,
August,,,,,,,,5.58,,2.70,,
September,,,,,,,,1.30,2.11,5.02,,
October,,,,,,,,7.02,1.99,9.74,,
November,,,,,,,,4.03,3.43,2.48,,
December,,,,,,,,7.19,6.42,7.81,,
Total,,,,60.42,45.06,34.36,50.70,49.03,39.51,47.19,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.03,13.95,47.19,,
Difference,NaN,NaN,NaN,60.42,45.06,34.36,50.70,0.00,25.56,0.00,,
