"ILFRACOMBE RESERVOIR",,,,,,,,,,,,
Grid ref,SS505453,Long,-4.140602,Lat,51.187320,,,,,,,
Station no,1828,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.47,4.28,1.48,2.84,5.88,5.67,4.30,3.74,5.17,5.10,,
February,4.93,1.31,2.49,5.14,3.42,0.49,5.54,6.26,0.28,3.58,,
March,5.13,4.49,1.75,3.61,1.57,1.34,5.25,1.21,4.73,2.18,,
April,4.65,4.37,2.62,0.93,3.49,1.50,0.39,1.19,3.06,3.43,,
May,3.20,2.91,3.49,2.70,4.36,1.24,1.95,3.91,1.55,1.39,,
June,1.30,2.71,2.37,4.60,4.35,2.85,1.57,4.32,2.02,1.51,,
July,1.57,1.81,7.17,6.19,1.35,4.38,4.94,2.82,4.11,7.31,,
August,7.81,7.55,5.92,4.68,0.43,5.40,5.22,5.96,0.05,5.44,,
September,3.19,4.37,5.93,6.19,2.77,6.06,7.45,6.87,0.75,5.26,,
October,1.73,7.15,2.73,8.18,3.28,2.42,5.84,5.14,5.97,8.31,,
November,5.69,5.70,4.45,9.12,3.62,1.82,2.82,5.18,9.96,10.19,,
December,5.03,5.04,1.72,4.59,6.60,4.97,3.00,4.99,9.59,6.70,,
Total,49.70,51.69,42.12,58.77,41.12,38.14,48.27,51.59,48.24,60.40,,
Calc annual,49.70,51.69,42.12,58.77,41.12,38.14,48.27,51.59,47.24,60.40,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,1.00,-0.00,,
