"LONMAY, ABERDEENSHIRE",,,,,,,,,,
Grid ref,NK 04210 60192,Long,-1.931167,Lat,57.631662,Elevation,60,ft,,
Station no,RR8556,,,,,,,,,
,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839
January,,,1.02,,,,,,,
February,,,0.34,,,,,,,
March,,,1.68,,,,,,,
April,,,2.34,,,,,,,
May,,,1.89,,,,,,,
June,,,1.9,,,,,,,
July,,,0.71,,,,,,,
August,,,2.28,,,,,,,
September,,,3.87,,,,,,,
October,,,2.33,,,,,,,
November,,,3.32,,,,,,,
December,,,2.34,,,,,,,
Total,,,24.02,,,,,,,
,,,,,,,,,,
Approx  Based on Parish and Manse,,,,,,,,,,
Listed in Symons Rainfall Investigations,,,,,,,,,,
New Statistical Account,,,,,,,,,,
https://stataccscot.edina.ac.uk/static/statacc/dist/viewer/nsa-vol12-Parish_record_for_Lonmay_in_the_county_of_Aberdeen_in_volume_12_of_account_2/,,,,,,,,,,
,,,,,,,,,,
Station no,RR8556,,,,,,,,,
Midas,,,,,,,,,,
Hyd Stn,,,,,,,,,,
