EASTBOURNE-SUMMERDOWN-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,TV596990,Long,0.26193685,Lat,50.768637,Elevation,122,ft,,,,,,,,,,,,
Station no,529/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,1.18,4.25,2.78,1.34,1.5,5.08,5.53,1.66,4.38,4.24,
February,,,,,,,,,,4.33,5.93,1.29,1.73,2.92,2.02,0.47,4.52,3.35,0,
March,,,,,,,,,,1.47,3.8,3.36,0.32,3.61,0.96,0.46,1.17,1.95,1.7,
April,,,,,,,,,1.28,1.86,1.9,1.29,1.87,0.55,0.43,1.47,0.33,1.24,2.19,
May,,,,,,,,,1.64,1.29,2.16,1.37,1.35,1.75,4.03,0.38,0.97,2.49,0.5,
June,,,,,,,,,0.62,0.74,1.26,0.75,1.66,2.11,2.28,2.47,0.48,3.79,0.98,
July,,,,,,,,,0.45,2.6,1.87,0.75,3.2,3.96,1.1,2.7,5.12,1.97,1.94,
August,,,,,,,,,1.3,3.1,6.33,2.75,2.12,4.51,1.9,4.86,1.64,4.81,1.1,
September,,,,,,,,,2.19,3.8,4.05,3.03,3.07,3.82,2.56,3.42,4.82,3.91,0.25,
October,,,,,,,,,9.02,1.26,3.82,3.41,3.08,3.38,4.54,1.2,1.88,4.42,4.58,
November,,,,,,,,,4.86,6.5,5.53,5.43,2.2,6.04,1.29,1.15,2.76,2.65,5.9,
December,,,,,,,,,2.6,2.98,2.69,4.29,0.98,2.59,4.73,4.7,1.91,4.39,7.71,
Total,,,,,,,,,,31.11,43.59,30.5,22.92,36.74,30.92,28.81,27.26,39.35,31.09,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1949 Apr record commences,,,,,,,,,,,,,,,,,,,,
1959 Mar IDR,,,,,,,,,,,,,,,,,,,,
