GOBERNUISGACH,,,,,,,,,,
Grid ref,NC437417,Long,-4.671353,Lat,58.335884,Elevation,250,ft,,
Station no,5801/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,6.43
February,,,,,,,,,3.56,5.11
March,,,,,,,,,2.64,1.95
April,,,,,,,,,6.51,6.21
May,,,,,,,,,6.01,1.35
June,,,,,,,,,7.38,3.94
July,,,,,,,,,8.14,3.38
August,,,,,,,,,5.37,4.64
September,,,,,,,,,4.26,2.39
October,,,,,,,,,8.43,3.33
November,,,,,,,,,8.76,4.42
December,,,,,,,,,6.39,10.88
Total,,,,,,,,,,54.03
,,,,,,,,,,
BR 1959 P,,,,,,,,,,
,,,,,,,,,,
Station no,5801/7,,,,,,,,,
Midas,14316,,,,,,,,,
Hyd Stn,748843,,,,,,,,,
