BODMIN CASTLE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX073671,Long,-4.7158,Lat,50.4721,Elevation,330,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,7.93,6.54,7.36,4.35,5.06,10.18,8.52,6.12,10.52,1.64,8.64,3.23,6.8,0.98,2.24,3.13,5.34,5.23,3.88,8.2,4.04,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,3.97,2.38,4.56,5.58,3.69,9.59,4.95,5.4,1.65,4.91,3.43,2.98,6.54,5.76,7.52,4.33,9.48,7.77,5.67,2.05,0.98,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,5.07,3.39,2.85,2.91,1.91,5.49,4.47,2.08,1.83,4.79,3.74,3,1.33,2.99,5.96,1.81,1.89,5.14,2.61,3.99,2.17,5.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,4.59,3.95,1.51,0.31,5.82,4.58,0.66,2.56,2.13,4.14,6.01,3.51,3.6,2.6,1.95,7.31,2.27,2.31,6,3.51,1.17,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,4.06,2.75,6.28,2.85,0.49,3.14,2.1,1.06,3.09,0.31,6.45,6.77,2.11,1.4,1.78,1.89,2.66,1.29,3.17,4.09,2.05,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,1.64,0.87,0.54,0.91,2.81,3.2,2.34,2.15,3.54,1.87,2.18,4.3,8.83,2.13,5.95,5.37,4.33,1.25,2.75,1.17,0.1,3.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,5.34,0.81,0.96,2.18,5.79,3.25,4.23,2.15,3.58,1.02,5.09,2.02,5.09,4.47,3.3,6.54,5.19,4.41,0.84,3.87,1.73,10.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,1.61,4.03,0.78,4.23,2.66,2.22,6.54,4.79,2.77,5.72,6.64,6.72,6.11,0.59,4.84,4.23,1.5,2.19,2.76,3.16,2.38,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,1.72,6.43,5.87,2.17,8.52,4.79,4.14,7.08,7.64,6.61,3.75,3.27,4.45,4.36,2.03,5.42,7.22,2.83,9.02,4.32,5.28,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,7.45,6.01,3.76,7.6,7.68,8.1,4.51,5.69,9.06,6.31,3.9,7.13,2.75,8.23,5.08,7.63,4.59,2.48,7.8,8.57,5.18,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,1.48,7.85,4.29,4.5,1.87,7.9,6.06,5.01,7.12,5.33,8.73,5.47,1.19,4.42,7.01,6.34,5.9,3.27,4.71,3.85,4.99,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,3.76,9.56,5.68,3.7,4.7,9.49,1.32,7.26,2.79,13.45,4.32,5.53,1.98,6.56,7,8.03,1.61,5.47,2.56,6.57,4.1,5.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,48.62,54.57,44.44,41.29,51,71.93,49.84,51.35,55.72,56.1,62.88,53.93,50.78,44.49,54.66,62.03,51.98,43.64,51.77,53.35,34.17,50.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1868 Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
