BODMIN CASTLE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX073671,Long,-4.7158,Lat,50.4721,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,3.79,11.5,8.59,4.87,6.06,0.39,5.89,5.01,1.94,3.79,7.76,2.29,5.52,4.35,4.34,6.91,9.27,8.01,6.48,7.02,4.16,4.82,9.73,8.06,5.7,9.93,1.54,8.33,3.05,6.55,0.95,2.24,3.08,5.27,5.07,3.88,8.02,3.7,2.96,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,2.82,1.38,1.99,2.88,1.74,3.04,3.68,2.26,2.82,2.61,1.73,4.87,1.86,1.15,2.25,4.87,4.75,3.9,2.37,4.56,5.37,3.66,9.02,4.7,5.22,1.59,4.52,3.27,2.81,6.27,5.62,7.29,4.22,9.24,7.69,5.58,1.98,0.92,1.48,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,2.44,6.51,1.92,3.22,1.23,3.56,2.34,5.74,2.36,3.65,4.17,3.45,5.63,3.51,3.19,2.55,4.4,4.96,3.38,2.76,2.79,1.8,5.25,4.33,2.03,1.78,4.51,3.56,2.72,1.28,2.85,5.8,1.74,1.88,5.07,2.57,3.93,2.08,4.89,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,5.89,1.74,1.82,2.82,0.22,1,5.32,5.12,6.19,3.33,1.55,1.39,2.65,1.69,1.4,1.52,2.21,4.53,3.85,1.49,0.3,5.64,4.36,0.64,2.34,2.04,3.85,5.67,3.25,3.49,2.54,1.91,7.05,2.2,2.22,5.82,3.4,1.09,1.77,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,2.17,1.56,3.17,1.26,3.85,5.88,3.47,2.74,3.48,1.78,3.47,2.07,2.73,1.96,1.48,3.05,2.44,3.98,2.75,6.28,2.67,0.46,3.01,2.06,0.94,2.92,0.29,6.02,6.87,2.05,1.36,1.72,1.83,2.53,1.26,3.17,4,1.95,2.07,4.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,1.93,2.94,5.28,5.29,3.48,4.9,2.23,1.73,1.34,0.89,8.49,2.83,4.59,3.66,2.82,1.85,2.49,1.63,0.82,0.54,0.89,2.67,3.01,2.22,2.05,3.33,1.75,2.11,4.1,8.54,2.05,5.79,5.24,4.19,1.18,2.7,1.12,0.1,3.72,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,2.04,2.61,1.41,5.74,3.16,2.72,2.04,3.04,4.23,4.13,2.22,6.88,3.34,1.39,1.3,3.51,2,5.11,0.81,0.95,2.1,5.67,3.12,3.96,1.99,3.2,0.98,4.93,1.96,4.92,4.32,3.21,6.31,5.01,4.29,0.82,3.71,1.61,10.16,3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,2.78,2.91,5.31,3.73,1.46,2.53,2.35,1.33,3.09,3.9,7.58,1.96,2.38,4.49,1.5,5.28,6.49,1.61,4,0.76,3.94,2.5,2.18,6.25,4.56,2.66,5.44,6.38,6.39,5.88,0.58,4.63,4.14,1.44,2.19,2.64,3.04,2.26,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,3.44,1.81,4.24,1.92,1.17,0.9,4.61,2.88,3.35,5.69,3.6,4.26,4.45,4.77,4.83,0.11,9.05,1.62,6.19,5.76,2.14,8.25,4.79,3.99,6.55,7.4,6.29,3.51,3.14,4.3,4.18,1.98,5.28,7.04,2.71,8.74,4.13,5.11,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,3.12,4.5,7.76,5.04,4.26,6.64,5.43,7.03,3.88,5.88,3.51,3.26,6.88,6.75,3.56,7.98,3.1,7.42,6,3.61,7.56,7.39,7.75,4.37,5.33,8.49,5.97,3.69,6.91,2.69,8.03,4.96,7.32,4.48,2.4,7.56,8.49,4.76,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
