BODMIN CASTLE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX073671,Long,-4.7158,Lat,50.4721,Elevation,330,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,7.03,7.67,4.48,5.27,10.42,8.82,6.36,10.97,1.73,8.63,3.39,7,1,2.3,3.22,5.49,5.32,4.08,8.38,4.23,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,2.47,4.76,5.85,3.73,9.8,4.92,5.6,1.73,5.06,3.55,3.03,6.75,5.9,7.58,4.43,9.7,8.1,5.93,2.12,1.05,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,3.55,2.86,3.11,1.94,5.59,4.57,2.2,1.94,4.95,3.92,3.17,1.38,3.06,6.11,1.87,1.98,5.39,2.72,4.24,2.28,5.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,4.09,1.54,0.32,5.81,4.66,0.68,2.69,2.23,4.38,6.11,3.55,3.67,2.68,2.01,7.48,2.32,2.29,6.1,3.91,1.27,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,2.81,6.6,2.85,0.5,3.15,2.08,1.07,3.29,0.32,6.52,6.95,2.16,1.45,1.83,1.96,2.78,1.39,3.27,4.3,2.11,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,0.89,0.57,0.94,2.81,3.3,2.33,2.14,3.87,1.89,2.24,4.35,8.98,2.16,5.95,5.48,4.4,1.3,2.88,1.17,0.12,4.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,0.86,0.93,2.21,5.82,3.34,4.24,2.19,3.72,1.02,5.25,2.12,5.23,4.5,3.4,6.77,5.31,4.64,0.9,3.96,1.78,10.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,4.12,0.78,4.35,2.68,2.26,6.67,4.85,2.92,5.96,6.79,6.91,6.26,0.61,5,4.5,1.57,2.29,2.79,3.26,2.53,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,6.63,5.86,2.27,8.74,4.85,4.19,7.15,7.9,6.95,3.86,3.37,4.65,4.5,2.07,5.57,7.35,2.94,9.43,4.45,5.34,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,6.29,3.78,7.98,7.75,8.2,4.53,5.88,9.5,6.45,4.04,7.29,2.84,8.43,5.16,7.81,4.88,2.67,8.22,9.07,5.53,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,8.2,4.43,4.72,1.93,8.08,6.24,5.22,7.4,5.49,9.1,5.65,1.22,4.52,7.22,6.48,6.05,3.36,4.92,4.27,5.17,9.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,10.09,5.85,3.81,4.8,9.66,1.41,7.47,2.95,13.78,4.71,5.7,2.01,6.99,7.2,8.34,1.66,5.72,2.81,6.69,4.22,5.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,57.03,45.63,42.89,51.78,73.31,50.68,52.82,58.42,57.98,64.72,55.48,52.15,45.8,55.83,63.91,53.49,45.41,54.05,55.82,35.63,51.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
