BORROWDALE VICARAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY257140,Long,-3.149232,Lat,54.51583,Elevation,330,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,8.85,5.44,7.38,17.42,9.12,9.94,4.94,18.23,4.61,8.31,2.03,9.63,18.46,13.13,6.39,9.85,14.89,13.6,6.2,12.37,,12.07,8.71,,11.9,,,9.79,,,,,,
February,,,,,,,,7.59,1.77,6.29,2.65,1.26,3.23,16.4,21.12,1.91,7.06,11.95,12,8.63,9.57,3.57,2.85,17.45,9.1,7.54,,,7.31,9.11,,,,,,,,,,,
March,,,,,,,,2.73,7.14,6.23,8.33,5.12,2.25,5.2,7.96,9.11,13.18,16.4,3.53,8.48,0.69,7.72,6.96,21.53,8.55,9.23,8.43,,,6.73,,23.35,,,2.62,,,,,,
April,,,,,,,,6.67,6.29,4.78,3.16,6.41,2.63,0.97,3.34,6.62,4.52,6.32,9.07,9.7,6.85,5.67,6.32,3.42,11.06,9.45,2.56,,3.18,4.95,,,,,4.3,,,,,,
May,,,,,,,,3.65,7.85,4.2,5.19,5.19,9.65,3.87,6.37,0.47,1.02,4.65,5.57,7.22,7.51,2.19,4.27,5.08,5.37,4.8,11.07,,5.16,4.06,12.79,,,,,,,,,,
June,,,,,,,,0.89,1.58,0.79,9.28,2.66,6.14,4.86,4.7,2.65,6,6.46,6.53,1.69,6.93,5.27,1.36,2.71,3.29,5.85,2.97,,5.36,4.11,4.07,,,,5.71,,,,,,
July,,,,,,,,7.99,8.81,4.59,8.72,4.91,6.32,6.9,5.25,8.5,7.43,5.12,2.77,4.94,3.82,1.8,4.58,6.94,6.07,3,5.61,,,,10.25,,,,,,,,,,
August,,,,,,,,4.25,7.32,9.28,8.39,22.25,13.82,9.66,9.68,11.2,5.68,15.05,14.32,3.09,8.91,6.98,5.54,15.37,7.89,6.46,,,8.7,,,,,,,,,,,,
September,,,,,,,,12.02,3.31,5.61,12.25,18.55,17.99,9.51,0.59,4.33,13.31,10.45,7.82,12,8.46,8,5.02,10.24,4.25,6.2,,,11.93,,9.93,,,,9.43,,,,,,
October,,,,,,,,4.68,13.72,10.93,8.36,15.27,10.35,13.66,10.77,8.51,10.32,7.3,8.77,11.96,13.05,10.08,8.75,20.7,6.61,9.27,,,3.46,,,,,,10.54,,,,,,
November,,,,,,,,7.66,18,5.15,18.77,11.07,8.43,8.09,17.02,9.37,2.63,15.5,14.31,15.4,7.62,12.14,8.03,7.42,8.2,11.29,,7.94,7.85,6.07,16.47,,6.95,,,,,,,,
December,,,,,,,14.2,8.98,14.09,10.04,0.55,22.01,4.92,18.36,9.44,10.32,13.51,18.84,21.16,5.96,21.97,11.07,13.52,10.4,11.82,7.37,,14.57,,,,,,,,,,,,,
Total,,,,,,,,75.96,95.32,75.27,103.07,123.82,95.67,102.42,114.47,77.6,92.97,120.07,115.48,107.53,108.51,80.88,77.05,136.15,95.81,86.66,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1905 July: ""gauge probably tampered with amount estimated from surrounding stations""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
