LEATHERHEAD-SEWAGE-WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ149578,Long,-0.35299,Lat,51.30774,Elevation,104,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,133/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,5.55,2.54,4.55,2.22,2.2,2.59,5.81,1.61,1.85,1.95,1.99,3.66,1.08,0.83,3.51,2.07,1.03,1.29,3.2,4.31,1.49,2.06,2.11,2.05
February,,,,,,,4.25,0.6,1.38,1.76,2.31,0.63,1.89,0.7,1.43,2.34,1.27,1.33,1.14,4.75,7.14,0.83,1.19,1.68,1.8,0.5,3.53,1.89,0.03,1.79
March,,,,,,,3.61,0.25,1.17,3.08,3.53,1.41,0.32,0.1,1.28,1.19,4.85,0.78,0.86,1.02,3.52,2.59,0.39,2.06,1.35,0.47,1.1,1.36,2.36,1.48
April,,,,,,,2.25,0.01,3.05,1.8,1.73,1.54,0.95,1.77,1.13,1.86,1.96,1.66,1.98,3.06,2.67,1.84,2.43,0.27,0.17,1.23,0.33,0.78,2.02,0.62
May,,,,,,,2.46,1.52,1.5,1.35,1.7,3.65,2.56,0.91,1.47,3.4,1.39,2.11,3.83,1.25,2.28,1.91,1.62,2.06,3.83,0.2,1.47,2.52,0.61,2.18
June,,,,,,,1.78,0.41,1.28,0.48,2.45,0.26,1.8,2.53,1.8,2.74,2.73,2.74,0.87,1.53,0.94,1.34,1.47,3.71,2.23,2.25,1.44,3.59,0.53,1.5
July,,,,,,,0.62,1.43,2.57,2.11,4.13,1.64,1.44,1.64,4,1.91,1.9,1.23,0.5,3.56,1.68,0.69,3.05,2.63,1.09,4.29,2.61,1.62,2.01,2.09
August,,,,,,,1.12,1.85,1.78,0.01,4.11,2.89,1.28,2.68,1.62,4.65,0.39,3.92,1.71,2.76,3.23,3.99,1.43,3.02,0.9,3.7,3.37,2.78,1.29,2.79
September,,,,,,,2.04,1.78,1.15,1.35,0.35,2.27,2.18,2.24,2.26,4.05,1.23,1.34,0.41,3.04,3.41,3.51,2.63,2.34,1.55,2.05,3.01,3.7,0.06,2.61
October,,,,,,,2.92,2.54,5.66,2.53,1.16,3.41,3.33,3.91,3.16,1.45,0.24,1.72,6.44,0.41,0.83,3.6,3.21,2.25,3.3,1.12,1.6,2.87,2.5,5.33
November,,,,,,,1.78,3.85,4.26,7.08,3.02,1.93,1.16,3.67,0.33,4.28,1.09,1.6,2.68,5.69,6.87,3.16,1.4,4.99,1.01,0.64,3.06,1.63,3.53,3.68
December,,,,,,,4.28,3.84,1.31,1.24,1.86,2.93,1.8,2.39,3.61,2.58,3.22,4.11,1.36,1.76,2.79,2.25,0.78,2.38,2.18,3.65,2.36,2.84,4.18,1.99
Total,,,,,,,32.66,20.62,29.66,25.01,28.55,25.15,24.52,24.15,23.94,32.4,22.26,26.2,22.86,29.66,38.87,27.78,20.63,28.68,22.61,24.41,25.37,27.64,21.23,28.11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937 Not printed Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 June 24 Inspection Gauge over exposed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Not printed Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 Nov 10 Inspection Gauge sound No container Bottle used Site satisfactory A long way from heating Has let snow remain in gauge funnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958 Oct 24 Gauge moved temporarily 110yds SW because of extension works being constructed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC_ID 6535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937-1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
