"BURY, LANCASHIRE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD787067,Long,-2.3229,Lat,53.5569,Elevation,320,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,,3.39,3.03,2.63,2.87,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,0.97,1.53,0.73,8.59,5.2,4,4.48,1.17,3.12,5.26,3.99,5.9,4.5,4,3.1,,,,,,,,,,,,,,,,0.25,,2.72,,,,,,
February,,,,,,,,0.5,3.13,4.94,0.69,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,3.99,1.1,4.86,3.27,4.5,3.33,4.52,2.38,3.1,1.84,1.88,1.18,1.3,3.98,1.88,,,,,,,,,,,,,,,,2.62,,1.04,,,,,,
March,,,,,,,,1.49,1.57,1.77,2.92,3.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,5.39,3.13,1.49,3.14,4.87,5.28,2.29,2.65,4.63,0.38,2.92,5.2,1.72,3,3.07,,,,,,,,,,,,,,,,3.55,,1.12,,,,,,
April,,,,,,,,2.16,2.26,2.97,5.6,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,1.86,1.97,3.2,1.52,1.66,3.29,1.92,3.63,0.96,0.28,0.9,0.12,5.77,0.9,2.75,,,,,,,,,,,,,,,,1.8,,0.51,,,,,,
May,,,,,,,,6.52,1.97,3.15,2.81,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.23,0.99,2.54,1.18,1.18,2.8,0.16,1.73,4.26,0.52,5.7,4.25,2.9,3.11,0.82,1.68,,,,,,,,,,,,,,,,0.66,,2.32,,,,,,
June,,,,,,,,3.64,1.61,1.9,0.88,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.08,2.22,3.84,6.3,3.69,2.48,3.29,2.6,5.4,3.24,4.63,3.2,2.43,2.45,1.9,3.88,,,,,,,,,,,,,,,,1.41,,2.91,,,,,,
July,,,,,,,,3.08,7.17,4.47,0.6,5.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.22,4.3,1.99,4.23,7.09,3.09,5.1,3.25,4.44,3.03,6.2,5.38,4.08,4.38,1.65,4.05,,,,,,,,,,,,,,,,4.5,,2.12,,,,,,
August,,,,,,,,7.72,4.14,8.86,0.85,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.57,3.11,5.13,4.54,2.9,2.44,2.74,2.58,6.45,5,4.85,5,2.02,3.37,2.8,5.9,,,,,,,,,,,,,,,,3.15,,3.46,,,,,,
September,,,,,,,,4.17,5.16,6.4,8.98,6.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.19,3.92,1.25,2.96,3.84,5.42,4.1,3.37,1.56,7.15,4.92,3.9,1.84,0.5,3.74,,,,,,,,,,,,,,,,,3.1,,3.71,,,,,,
October,,,,,,,,2.95,4.6,3.77,7.7,4.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74,4.79,4.6,4.25,2.13,4.23,4.21,6.08,6.34,2.8,2.37,5.76,2.6,7.07,2.1,,,,,,,,,,,,,,,,,2.12,,3.33,,,,,,
November,,,,,,,,4.32,5.47,2,4.73,3.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.35,8.3,4.98,6.62,3.44,4.87,8.14,5.2,2.56,5.07,5,3.75,5.72,5.4,2.52,,,,,,,,,,,,,,,,,2.63,,1.06,,,,,,
December,,,,,,,,9.17,2.96,0.14,4.14,6.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11,3.99,5.9,10.25,1.69,1.38,6.13,6.03,2.44,2.08,0.4,6.44,3.5,0.9,0.24,,,,,,,,,,,,,,,,,4.05,,2.45,,,,,,
Total,,,,,,,,49.11,43.07,43,42.77,43.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.18,43.83,37.96,50.61,42.48,42.94,49.77,44.05,43.28,40.7,41.83,47.37,37.49,40.47,27.65,,,,,,,,,,,,,,,,,29.84,,26.75,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842 July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR for Rock Street where 1860s observer, Thomas Croasdale, lived",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1790s-1801 Mr Norris, no other details",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other records all 313-320 ft elevation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
