NAILSWORTH-THREE-CORNERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO8477800335,Long,-2.2216629,Lat,51.701548,Elevation,325,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,3.41,4.4,2.04,4.39,3.07,5.49,3.47,5.83,0.99,5.29,2.25,4.25,2.74,3.03,0.69,4.23,4.18,4.09,6.3,2.57,3.22,3.09,,,,,,,,
February,,0.35,4.33,7.59,0.47,4.38,2.58,4.21,3.13,0.85,0.63,2.4,0.21,3.59,0.34,3.28,2.63,4.81,1.02,1.55,2.79,4,0.67,,,,,,,,
March,,2.32,3.68,2.29,1.32,0.5,0.58,3.88,3.92,0.23,2.8,0.48,2.46,3.15,2.32,0.66,2.39,4.2,0.24,1.75,2.69,2.95,3.02,,,,,,,,
April,5.39,0.96,3.69,3.24,3.32,2.02,4.06,1.37,1.4,1.01,2.39,3.02,3.38,1.21,2.11,5.79,2.79,4.62,0.11,3.82,2.21,1.18,1.22,,,,,,,,
May,2,2.11,0.81,1.81,6.68,4.26,2.96,1.06,0.92,2.48,1.62,3.91,6.54,2.16,1.23,1.31,1.27,1.74,2.62,1.21,2.51,1.93,4.57,,,,,,,,
June,3.38,0.18,1.02,0.48,2.98,0,2.09,3.82,2.98,1.66,0.93,3.77,1.54,1.64,1.29,3.35,1.96,1.48,1.78,1.99,0.66,1.81,0.2,,,,,,,,
July,4.87,0.61,4.47,1.75,4.91,4.43,2.71,3.44,2.6,1.78,3.17,5.15,2.54,1.91,2.43,0.65,5.74,3,2.65,4.83,5.36,2.34,2.06,,,,,,,,
August,1.33,2.98,4.63,2.57,4.12,3.88,2.29,5.38,2.26,2.84,2.85,7.74,1.45,1,2.25,2.01,0.46,0.42,2.89,3.29,0.13,4.16,4.37,,,,,,,,
September,2.46,1.99,2.16,2.79,4.57,4.25,1.59,5.6,0.96,0.3,4.05,2.75,4.16,3.08,2.27,5.39,2.99,2.76,2.64,0.81,0.99,0.96,2.83,,,,,,,,
October,2.17,1.69,1.2,5.49,5.68,3.89,3.12,2.48,5.84,4.58,2.57,0.77,5.91,3.4,2.32,4.86,1.42,2.92,4.4,3.25,3.89,2.67,3.79,,,,,,,,
November,1.67,2.86,2.17,2.11,3.15,1.94,7.38,2.61,4.29,8.89,3.56,5.35,2.29,0.67,1.43,6.01,4.05,1.84,4.26,5.74,7.69,2.69,1.67,,,,,,,,
December,4.02,1.82,5.46,3.65,4.79,4.23,0.55,3.61,3.16,8.2,4.02,1.83,1.38,0.57,6.61,4.34,4.03,2.58,4.06,2.54,1.49,2.29,3.95,,,,,,,,
Total,,21.28,38.02,35.81,46.38,36.85,35.4,40.93,37.29,33.81,33.88,39.42,36.11,25.12,27.63,38.34,33.96,34.55,30.76,37.08,32.98,30.2,31.44,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 Jan IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
