ROGATE-OLD-COPSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SU817246,Long,-0.83669514,Lat,51.014985,Elevation,375,ft,,,,,,,,,,,,
Station no,460/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,0.84,5.76,7.85,4.47,6.07,3.04,3.09,3.4,6.98,2.59,1.83,3.59,3.38,6.2,1.09,1.08
February,,,,,4.16,2.98,5.82,0.62,1.7,4.57,3.67,0.63,1.92,0.59,2.66,3.26,2.19,1.56,1.76,5.66
March,,,,,0.7,1.82,4.35,0.4,1.71,3.66,3.7,2.55,0.62,0.05,1.01,1.27,6.88,1.11,1.51,2.22
April,,,,,3.64,2.14,4.27,0.05,2.58,1.47,1.53,2.34,1.14,1.57,1.12,2.58,2.92,2.18,1.92,2.94
May,,,,,1.03,0.59,2.75,1.92,1.55,1.1,2.75,3.53,4.32,1.02,1.91,3.38,1.59,2.4,2.1,1.49
June,,,,,2.83,3.78,1.11,0.94,1.58,0.4,1.9,0.28,1.43,2.05,2.51,3.71,1.98,3.7,0.6,1.31
July,,,,1.57,0.61,3.96,1.18,2.07,3.57,2.85,2.47,1.73,2.51,2.36,5.38,2.48,1.47,1.12,0.56,4.39
August,,,,2.94,3.12,0.73,1.03,1.48,2.37,0.18,4.72,3.75,1.88,1.65,2.32,5.49,0.6,3.9,1.28,4.61
September,,,,2.66,3.94,2.86,2.21,2.17,0.76,1.76,0.08,2.2,1.86,2.59,2.1,5.43,1.81,2.81,2.18,3.67
October,,,,2.02,4.72,1.39,4.37,4.19,5.06,4.71,0.93,3.74,3.7,4.86,4.27,1.15,1.06,2.17,8.45,0.28
November,,,,3.25,7.72,4.65,2.68,5.78,7.03,9.15,3.83,1.79,2.6,6.04,0.65,7.53,1.69,1.86,3.93,6.5
December,,,,9.6,4.5,3.51,4.17,4.46,2.48,2.06,2.78,4.68,2.45,3.24,5.34,4.43,3.08,5.64,2.14,1.84
Total,,,,,37.81,34.17,41.79,28.55,36.46,34.95,31.45,30.62,31.41,28.61,31.1,44.3,28.65,34.65,27.52,35.99
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1950 Small Gauge move South (same NGR used),,,,,,,,,,,,,,,,,,,,
