DUNFORD BRIDGE (DEARDEN MOSS),,,,,,,,,,,,
Grid ref,SE137015,Long,-1.794891,Lat,53.510009,,,,,,,
Station no,3162/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.25,9.00,3.80,5.95,6.35,11.35,5.70,6.85,6.70,10.60,,
February,8.15,3.75,3.70,6.55,4.50,4.30,7.80,9.20,0.70,4.20,,
March,8.15,3.60,3.75,6.10,5.40,2.80,4.90,5.00,2.80,3.20,,
April,3.65,3.55,4.30,1.35,2.95,3.55,0.70,2.20,5.90,3.25,,
May,4.50,2.95,3.00,4.80,6.00,1.95,2.05,4.60,1.80,2.65,,
June,1.35,3.70,4.70,3.50,4.50,4.15,1.70,5.90,2.00,2.45,,
July,4.10,2.90,7.20,7.15,1.45,10.15,5.95,5.70,4.60,7.90,,
August,7.05,3.75,5.30,8.10,1.25,11.80,7.35,4.60,0.95,6.00,,
September,3.75,6.15,4.20,6.25,2.50,6.10,8.10,5.00,0.25,4.45,,
October,1.25,8.00,3.00,10.10,4.10,3.90,6.95,4.70,4.30,9.40,,
November,13.05,4.25,5.10,9.75,3.15,3.00,3.80,1.70,7.75,7.80,,
December,10.40,5.80,3.10,13.00,8.85,7.50,8.65,6.15,9.85,6.60,,
Total,73.65,57.40,51.15,82.60,51.00,70.55,63.65,61.60,47.60,68.50,,
Calc annual,73.65,57.40,51.15,82.60,51.00,70.55,63.65,61.60,47.60,68.50,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
