DUNFORD-BRIDGE-DEARDEN-MOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE137015,Long,-1.7948915,Lat,53.510009,Elevation,1500,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,3162/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,8.35,9.2,3.7,5,-999,10.45,11.55,7.9,9.4,6.85,17.9,5.85,4.8,-999,-999,3.8,5.95,6.35,11.35,5.7,6.85,6.7,10.6
February,,,,,,,,3.85,6.7,3.2,7.6,-999,5.25,4.65,7.75,10.8,5,6.1,4.3,10.95,-999,-999,3.7,6.55,4.5,4.3,7.8,9.2,0.7,4.2
March,,,,,,,,2.85,4.65,5.6,7.6,4.1,2.95,1.6,2.1,4.05,9.65,2.2,3.9,3.3,8.15,3.6,3.75,6.1,5.4,2.8,4.9,5,2.8,3.2
April,,,,,,,,0.95,3.55,5.25,4.95,2.9,4.05,4,3.25,2.55,5.9,3.15,6.2,5.1,3.65,3.55,4.3,1.35,2.95,3.55,0.7,2.2,5.9,3.25
May,,,,,,,,4.75,2.85,0.95,4.05,4.25,3.65,4.55,4.45,2.8,4.4,2.75,3.2,3.35,4.5,2.95,3,4.8,6,1.95,2.05,4.6,1.8,2.65
June,,,,,,,,5.35,3.55,0.95,2.15,1.25,4.65,3.2,4.7,4.7,3.7,6.3,1.4,2.8,1.35,3.7,4.7,3.5,4.5,4.15,1.7,5.9,2,2.45
July,,,,,,,,5.35,9.15,5.3,2.45,6.55,2.75,3.85,2.05,6.25,2.8,2.3,3.55,3.5,4.1,2.9,7.2,7.15,1.45,10.15,5.95,5.7,4.6,7.9
August,,,,,,,,3.8,2.25,2.9,7.55,6.25,7.75,5.45,4.1,5.2,0.45,5.65,4.1,4.55,7.05,3.75,5.3,8.1,1.25,11.8,7.35,4.6,0.95,6
September,,,,,,,,2.95,2.8,5.65,1,4.25,5.4,7.15,3.35,8.2,2.8,3.1,2.3,8.4,3.75,6.15,4.2,6.25,2.5,6.1,8.1,5,0.25,4.45
October,,,,,,,,12.95,4.55,6.1,7.25,8.95,3.4,6.35,9.25,2.6,1.6,4.2,5.3,3.7,1.25,8,3,10.1,4.1,3.9,6.95,4.7,4.3,9.4
November,,,,,,,,7.3,10.95,10.55,4.9,1.95,5,11.2,1.15,11.45,8.8,3.05,10.4,8.35,13.05,4.25,5.1,9.75,3.15,3,3.8,1.7,7.75,7.8
December,,,,,,,,7.8,6.6,7.1,4.4,5.55,3.45,7.55,4.35,5.3,8.7,6.15,13.5,4.1,10.4,5.8,3.1,13,8.85,7.5,8.65,6.15,9.85,6.6
Total,,,,,,,,66.25,66.8,57.25,58.9,54.55,58.75,71.1,54.4,73.3,60.65,62.85,64,62.9,73.65,57.4,51.15,82.6,51,70.55,63.65,61.6,47.6,68.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is on Dearden Moss at the stated altitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan/Feb 1940 and 1941 and Feb 1947 estimated for snow but left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
