"FOLKESTONE SANATORIUM",,,,,,,,,,,,
Grid ref,TR238367,Long,1.194199,Lat,51.085936,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.03,0.60,1.40,2.32,3.50,1.05,3.30,0.98,1.67,0.98,,
February,5.18,1.53,1.87,1.54,2.31,0.78,2.44,1.61,1.47,0.66,,
March,1.05,2.47,1.09,1.92,1.63,3.66,2.18,1.05,2.16,3.19,,
April,0.91,1.57,0.70,2.56,1.09,3.07,1.48,2.12,2.10,2.11,,
May,1.20,0.90,1.86,3.05,1.98,1.29,1.93,2.64,0.98,0.81,,
June,3.05,0.97,2.23,2.73,1.03,5.13,2.24,1.78,1.12,2.91,,
July,1.13,1.14,1.78,4.72,0.96,1.12,0.94,1.65,3.44,2.59,,
August,2.19,1.71,3.87,3.91,1.94,2.15,0.68,1.95,3.30,2.71,,
September,0.89,1.15,0.60,2.12,1.24,2.59,1.77,0.45,1.52,3.04,,
October,1.99,1.84,2.41,4.55,2.32,2.71,4.02,6.46,1.77,8.49,,
November,4.08,0.98,2.11,3.23,1.18,5.12,6.35,1.81,1.29,0.97,,
December,3.23,4.87,2.54,2.70,3.09,0.78,2.59,2.60,2.82,4.50,,
Total,28.93,19.73,22.46,35.35,22.27,29.45,29.92,25.10,23.64,32.96,,
Calc annual,28.93,19.73,22.46,35.35,22.27,29.45,29.92,25.10,23.64,32.96,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
