FOLKESTONE SANATORIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TR238367,Long,1.194199,Lat,51.085936,Elevation,101,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,2.2,2.76,1.35,2.59,0.98,2.61,4.03,0.6,1.4,2.32,3.5,1.05,3.3,0.98,1.67,0.98,3.4,2.13,3.24,3.67,1.06,3.37,1.17,2.8,2.74,2.94,3.21,2.16,3.66,1.18,2.22,2.25,2.65,2.51,3.8,1.14,2.45,3.02,1.59,2.97,3.03,2.33,4.87,4.88,3.96,5.41,2.91,2.93,3.8,4.67,1.89,2.48,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,1.55,0.27,0.28,2.17,1.06,1.99,5.18,1.53,1.87,1.54,2.31,0.78,2.44,1.61,1.47,0.66,2.82,1.13,2.03,0.9,2.2,3.61,3.52,1,0.93,2.14,0.47,0.29,1.98,3.84,0.58,3.56,2.99,4.1,1.19,0.76,1.8,2.5,0.61,1.94,0.19,3.68,2.41,5.1,1.35,1.36,2.11,2.48,1.58,1.54,1.34,1.56,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,0.98,1.89,2.72,3.65,1.94,0.9,1.05,2.47,1.09,1.92,1.63,3.66,2.18,1.05,2.16,3.19,1.7,2.7,3.79,2.23,4.61,0.93,3.87,1.6,1.37,2.4,1.09,1.28,1.7,1.65,1.03,1.14,0.25,2.94,1.56,0.18,2.49,0.57,1.32,1.77,2.97,0.28,0.85,4.92,0.71,2.31,2.54,2.17,2.3,0.44,0.13,0.95,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,2.26,2.08,1.02,2.39,1.01,3.29,0.91,1.57,0.7,2.56,1.09,3.07,1.48,2.12,2.1,2.11,2.02,1.33,0.2,2.61,1.21,1.92,1.96,1.7,0.98,2.22,2.18,1.3,2.3,1.54,2.34,3.47,3.1,1.52,3.18,1.14,1.93,3.14,3.47,1.22,2.05,3.32,1.89,2.62,0.93,3.09,1.47,1.02,0.9,0.95,1.64,2.47,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,2.69,0.25,0.2,0.72,4.19,2.12,1.2,0.9,1.86,3.05,1.98,1.29,1.93,2.64,0.98,0.81,3.03,0.86,0.62,0.82,0.78,3.06,2.21,1.4,2.05,0.26,1.59,0.88,0.35,4.2,2.82,1.96,1.62,0.69,2.93,1.38,3.39,1.87,2.78,2.49,1.09,1.8,0.15,3.09,3.17,1.38,0.71,1.4,3.17,1.42,1.05,2,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,1.84,1.13,3.2,1.62,1.68,0.83,3.05,0.97,2.23,2.73,1.03,5.13,2.24,1.78,1.12,2.91,2.92,2.21,4.18,0.38,2.58,0.99,2.66,2,0.79,0.78,1.51,0.18,1.55,0.5,1.49,0.54,2.84,4.71,2.02,1.58,0.86,0.87,1.48,2.43,0.94,2.39,2.54,1.71,1.15,1.75,1.03,0.57,0.2,1.75,1.3,0.66,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,4.57,2.94,1.1,0.67,0.91,1.3,1.13,1.14,1.78,4.72,0.96,1.12,0.94,1.65,3.44,2.59,2.17,0.27,1.48,1.69,1.41,4.92,1.76,4,3.1,1.79,3.26,0.3,2.42,0.6,3.5,2.51,1.43,4.7,1.16,1.11,2.35,3.23,4.24,1.17,2.22,0.27,5.26,1.77,2.18,1.9,2.54,3.72,2.95,2.05,2.11,1.98,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,2.09,2.06,4.27,3.59,2.63,0.56,2.19,1.71,3.87,3.91,1.94,2.15,0.68,1.95,3.3,2.71,1.68,1.2,5.42,3.29,1.15,1.44,2.4,6,0.98,1.69,1.59,1.53,3.17,1.47,3.52,1.2,1.24,3.91,1.55,2.1,2.6,3.89,0.44,0.87,1.79,4.4,1.76,1.01,1.83,1.93,0.03,4.87,2.47,1.48,1.99,2.89,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,3.29,0.63,6.05,2.37,0.52,2.68,0.89,1.15,0.6,2.12,1.24,2.59,1.77,0.45,1.52,3.04,0.56,1.43,2.97,1.88,1.08,3.42,0.94,0.6,5.02,1.38,3.07,0.6,4.63,2.02,2.67,2.24,0.48,3.32,0.62,0.74,3.68,1.32,2.27,5.79,2.34,3.45,3.29,3.11,2.22,1.79,2.93,0.18,3.43,1.73,3.22,1.43,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,5.09,4.34,6.13,0.2,2.86,3.22,1.99,1.84,2.41,4.55,2.32,2.71,4.02,6.46,1.77,8.49,4.99,6.89,3.19,4.17,3.33,4.51,5.19,3.6,2.6,1.14,1.17,0.39,2.43,6.26,4.59,3.31,4.23,1.08,5.94,3.92,1.46,1.03,8.89,2.14,1.86,4.03,2.48,2.65,3.35,14.11,3.14,2.3,3.57,1.66,5.93,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,2.42,4.64,2.26,2,2.44,1.96,4.08,0.98,2.11,3.23,1.18,5.12,6.35,1.81,1.29,0.97,6.3,5.81,2.14,2.95,3.14,3.91,4.77,1.8,2.27,4.07,1.22,2.36,1.66,2.13,2.75,4.27,5.8,3.57,6.04,5.26,5.28,4.45,1.28,2.16,2.3,6.23,4.43,1.35,3.21,5.91,6.86,3.88,2.32,3.14,4.94,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,1.93,2.69,4.17,2.58,2.35,2.02,3.23,4.87,2.54,2.7,3.09,0.78,2.59,2.6,2.82,4.5,3.05,5.26,2.57,1.99,6.17,8.01,3.56,1.9,2.3,3.65,3.94,1.69,2.14,2.76,2.99,3.84,0.96,4.84,3.49,6.12,2.72,0.67,0.54,0.83,6.12,3.31,2.62,7.45,3.07,1.32,2.97,1.5,3.81,2.05,1.99,3.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,30.91,25.68,32.75,24.55,22.57,23.48,28.93,19.73,22.46,35.35,22.27,29.45,29.92,25.1,23.64,32.96,34.64,31.22,31.83,26.58,28.72,40.09,34.01,28.4,25.13,24.46,24.3,12.96,27.99,28.15,30.5,30.29,27.59,37.89,33.48,25.43,31.01,26.56,28.91,25.78,26.9,35.49,32.55,39.66,27.13,42.26,29.24,27.02,30.5,22.88,27.53,23.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: In Oct 1946 the gauge was moved from Folkstone Sanitorium to The Leas, approx 1.5miles W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
