KIRKBY LONSDALE (Harrison),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD611786,Long,-2.5969,Lat,54.202,Elevation,209,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,7.27,4.63,3.2,5.8,5.5,3.95,4.97,4.1,1.95,7.45,6.4,6,6.1,2.8,5.8,5,1.5,1.5,2,4.5,6.2,,2.8,4.3,3,2,3,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,3.29,2.69,3.55,6.15,5,4.84,7.91,1.9,4.2,4.72,0.7,1.95,0.85,6.1,5.2,2.15,2.4,3.7,5.6,4.25,3,,3,1.5,2.75,1.25,2.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,1.4,4.2,2,2.4,2,7.25,1.14,1.8,1.82,4.75,2.8,4.8,1.5,4.48,2.32,2.5,3,3.4,4.81,5.2,1.25,,3.4,3,2.15,2.6,4.2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,3.7,1.8,1.9,1.15,6,2.48,3.53,2.31,3.35,2.42,0.55,1.8,1.55,2.6,2.5,2.7,1,1.65,1.92,4.5,2.5,,2.5,4.5,2.1,2.75,2,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,3.88,2.82,4.27,2.4,2.58,1.55,2.74,3.2,1.45,2.45,2,1.75,3.1,0.8,2.3,4.35,2.5,2.7,4.2,2,2,,1.65,4.5,2.25,2,3,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,5.9,5.08,0.55,4.55,2.66,0.5,1.82,1.73,3.42,6.05,2.12,1,4.9,3.7,3.2,3.85,5.25,4,4.75,6.08,5,,3,2,2.3,2.5,1,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,1.7,2.8,2.72,5.27,3.2,1.15,1.4,1.57,7.53,4.82,5.75,2,3.25,3.7,5.2,1.6,6.5,5.5,6.82,8,2.6,,2.7,6.5,2.6,6,3.6,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,6.16,3.25,6.95,5.8,4.25,4.7,2.48,1.73,3.1,6.18,6,6.05,4.35,3.6,6.5,7.4,5.72,2.8,6.8,4.1,4,,3,2.25,1.9,4,7.5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,8.65,5.1,1.75,9.72,5.45,2.52,9.95,3.05,3.34,9.48,4.08,4.85,4.4,5.7,3.85,6,3.5,4,3.3,2.5,5,,5.8,6,4.5,6,3,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,6.72,2.45,5.5,3.09,4.67,4.92,3.38,8.23,6.2,6.7,8,7.8,3.5,2.5,6.5,4.9,3.6,2.1,3.3,4.5,6.5,,3.75,5,1.25,3.25,4.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
