"MALAHIDE SEAMOUNT",,,,,,,,,,,,
Grid ref,IO2301245211,Long,-6.149221,Lat,53.442838,,,,,,,
Station no,6123,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.63,0.92,,
February,,,,,,,,,1.10,0.83,,
March,,,,,,,,1.97,2.72,3.42,,
April,,,,,,,,2.46,1.90,3.33,,
May,,,,,,,,3.00,1.53,1.59,,
June,,,,,,,,3.14,1.39,1.87,,
July,,,,,,,,1.91,3.34,3.48,,
August,,,,,,,,2.69,2.45,0.78,,
September,,,,,,,,0.63,3.17,1.69,,
October,,,,,,,,3.90,2.50,2.99,,
November,,,,,,,,2.87,1.07,1.21,,
December,,,,,,,,2.50,2.70,4.33,,
Total,,,,,,,,,25.50,26.44,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.07,25.50,26.44,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
