AFTON RESERVOIR (NO. 2),,,,,,,,,,
Grid ref,NS631049,Long,-4.15893,Lat,55.319063,Elevation,1277,ft,,
Station no,5273/9/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,6.67,5.58,9.59,10.58,4.13,
February,,,,,2.19,2.02,6.84,6.5,2.9,
March,,,,,2.73,4.8,7.86,2.06,6.57,
April,,,,,4.07,2.29,3.87,2.71,6.63,
May,,,,,6.23,3.49,4.99,4.38,2.73,
June,,,,,4.23,6.93,2.49,4.91,3.62,
July,,,,,2.9,8.44,6.25,5.63,8.27,
August,,,,,2.2,11.9,7.98,7.31,2.57,
September,,,,,7.79,7.63,5.8,8.46,2.52,
October,,,,,6.57,5.63,6.8,6.49,10.3,
November,,,,,5.89,4.26,4.09,2.7,11.04,
December,,,,,12.44,11.51,8.05,8.39,13.56,
Total,,,,,63.91,74.48,74.61,70.12,74.84,
,,,,,,,,,,
Station no,5273/9/1,,,,,,,,,
Midas,13204,,,,,,,,,
Hyd Stn,620168,,,,,,,,,
