AFTON RESERVOIR (FILTERS),,,,,,,,,,,,,,,,,,,,
Grid ref,NS631049,Long,-4.15893,Lat,55.319063,Elevation,1361,ft,,,,,,,,,,,,
Station no,5273/8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,17.1,10.41,14.36,5.75,8.57,14.14,12.93,7.44,2.44,1.64,8.86,11.38,10.65,6,,,,,
February,,0.21,7.01,1.54,11.83,3.19,6.76,6.99,11.85,2.84,7.05,3.76,9.95,4.32,12.52,,,,,
March,,5.12,5.52,4.34,4.19,5.47,2.09,6.49,9.78,8.87,3.76,4.7,4.34,1.5,4.63,,,,,
April,,8.09,4.97,6.17,6.59,1.72,4.2,1.55,4.53,3.3,3.33,5.93,7.08,4.07,3.67,,,,,
May,,4.85,5.97,7.33,1.26,2.71,3.23,7.63,1.58,1.97,5.67,6.21,5.5,4.7,6.43,,,,,
June,,3.66,4.72,3.39,9.51,3.02,4.87,11.01,6.08,2.14,1.89,1.8,7.97,5.17,6.92,,,,,
July,,8.33,9.4,4.93,4.42,9,8.17,8.71,6.56,7.65,5.01,8.06,3.29,5.87,5.38,,,,,
August,,3.04,4.67,8.91,2.25,6.16,4.35,5.53,1.87,4.43,9.2,11.04,8.81,5.3,2.71,,,,,
September,,9.54,1.92,12.22,9.74,7.79,5.08,8.2,4.03,8.22,5.31,9.44,5.28,7.76,11.75,,,,,
October,,12.19,5.31,15.02,15.85,9.41,6.27,14.27,4.69,9.49,6.64,11.83,14.41,8.94,7.65,,,,,
November,,6.57,3.5,3.06,10,8.32,1.23,14.83,14.99,10.96,9.69,2.37,6.16,10.88,1.26,,,,,
December,,17.81,2.93,17.04,7.21,12.47,3.51,7.72,5.87,12.25,5.36,16.37,5.61,12.04,8.4,,,,,
Total,,96.51,66.33,98.31,88.6,77.83,63.9,105.86,79.27,74.56,64.55,90.37,89.78,81.2,77.32,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5273/8,,,,,,,,,,,,,,,,,,,
Midas,13204,,,,,,,,,,,,,,,,,,,
Hyd Stn,620167,,,,,,,,,,,,,,,,,,,
