"AFTON RESERVOIR (NO. 2)",,,,,,,,,,,,
Grid ref,NS631049,Long,-4.158930,Lat,55.319063,,,,,,,
Station no,5273/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,8.50,6.67,5.58,9.59,10.58,4.13,,,
February,,,,6.10,2.19,2.02,6.84,6.50,2.90,,,
March,,,,5.93,2.73,4.80,7.86,2.06,6.54,,,
April,,,,3.10,4.07,2.29,3.87,2.71,6.63,,,
May,,,,8.48,6.23,3.49,4.99,4.38,2.73,,,
June,,,,6.98,4.23,6.93,2.49,4.91,3.62,,,
July,,,,8.36,2.90,8.44,6.25,5.63,8.27,,,
August,,,,7.20,2.20,11.90,7.98,7.31,2.57,,,
September,,,,14.17,7.79,7.63,5.80,8.46,2.52,,,
October,,,,13.59,6.57,5.63,6.80,6.49,10.30,,,
November,,,,14.02,5.89,4.26,4.09,2.70,11.04,,,
December,,,,12.49,12.44,11.51,8.05,8.39,13.56,,,
Total,,,,108.92,63.91,74.48,74.61,70.12,74.84,,,
Calc annual,0.00,0.00,0.00,108.92,63.91,74.48,74.61,70.12,74.81,0.00,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.03,NaN,,
