BELFAST SPRINGFIELD AND CAVE HILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IJ326776,Long,-5.94513,Lat,54.62957,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,6215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,3.32,5.39,3.1,4.19,3.13,2.16,3.95,4.65,5.6,6.51,3.88,4.52,4.76,3.25,4.91,4.44,7.07,2.15,4.12,3.91,2.85,2.39,2.88,1.65,5.9,,,,
February,,,3.24,1.48,3.19,4.32,4.09,2.15,4.94,1.65,2.17,0.78,4.23,5.27,1.16,4.13,4.57,1.69,4.63,3.72,0.94,3.46,0.2,3.55,0.46,4.61,2.6,,,,
March,,1.21,4.43,3.26,4.21,1.24,2.36,3.84,1.18,4.29,3.28,3.37,1.65,2.53,2,1.86,1.81,2.8,3.65,0.81,1.95,1.45,2.14,2.6,2.49,1.96,2.39,,,,
April,,3.2,1.58,3.79,1.61,2.32,4.13,2.77,1.56,1.55,3.03,1.5,3.73,3.74,3.38,4.04,2.49,1.68,1.67,1.58,1.8,3.1,3.71,1.76,3.1,3.02,1.06,,,,
May,,2.54,1.56,4.01,1.92,1.19,5.36,5.73,3.08,1.53,3.83,2.2,1.91,2.16,5.49,6.68,2.81,1.73,1.69,2.98,2,4.54,3.2,2.87,3.76,1.21,1.58,,,,
June,,1.68,7.17,2.67,1.52,1.65,2.32,2.81,1.66,2.36,3.45,0.41,2.54,1.23,4.61,0.6,2.34,4.47,4.81,2.94,2.3,5.5,1.59,3.15,2.58,5.59,4.94,,,,
July,,2.3,3.72,1.76,2.58,4.92,2.66,2.4,4.19,0.68,3.13,3.64,3.91,2.83,3.91,4.59,4.22,3.07,2.85,3.93,3.34,3.45,5.31,3.38,3.12,1.1,6.56,,,,
August,,2.54,6.69,1.15,3.55,4.34,2.12,5.41,3.84,3.96,2.57,4.1,4.35,7.14,5.44,2.13,4.14,3.43,4.27,5.93,6.52,3.29,2.63,2.93,5.5,2.73,2.96,,,,
September,,1.57,1.44,3.96,1.71,1.67,1.35,2.32,5.72,4.01,2.82,1.78,2.68,4.5,5.99,4.55,2.76,5.85,2.41,1.1,4.84,2.93,3.94,0.91,5.03,4.92,4.53,,,,
October,,3.7,4.44,4.44,1.85,3.36,7.68,6.59,4.41,2.07,6.56,4.54,1.97,4.72,2.71,3.84,4.34,3.45,6.41,4.86,5.94,2.51,4.19,3.07,4.92,6.05,3.18,,,,
November,,4.69,3.48,4.33,5.69,2.45,3.74,4.67,5.25,3.94,3.76,4.09,1.77,3.64,4.08,2.1,3.87,4.35,5.43,5.21,4.77,5.88,2.32,1.42,1.3,5.19,4.38,,,,
December,,5.61,4.93,3.82,7.36,5.54,2.26,2.77,4.86,7.45,5.71,3.63,3.45,5.2,4.77,4.11,1.36,2.85,4.17,7.16,3.48,3.23,6.1,2.16,7.35,4.69,4.09,,,,
Total,,,46,40.06,38.29,37.19,41.2,43.62,44.64,38.14,45.91,36.55,36.07,47.48,48.3,41.88,39.62,39.81,49.06,42.37,42,43.25,38.18,30.19,42.49,42.72,44.17,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gauge moved here, Cavehill Road,  in March 1911",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR for Methodist Church approximately half way along Cavehill Road.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_30_pt1-page-136.csv - SPLIT ACROSS THE TWO SITES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
