BELFAST SPRINGFIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IJ304730,Long,-5.98104,Lat,54.59742,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,4.9,1.78,7.42,4.77,2.75,1.47,0.84,2.43,4.32,6.15,3.03,5.46,3.03,2.77,3.39,3.57,1.72,3.98,2.94,4.81,3.1,2.3,2.11,2.24,4.63,3.95,3.05,2.4,5.33,3.45,2.61,4.72,2.54,3.55,2.55,3.88,1.79,,,,,,,,
February,,,,,,1.15,4.76,3.78,2.65,2.4,2.59,4.16,3,3.68,3.38,4.05,2.83,1.45,0.83,3.71,1.53,0.17,1.63,4.36,4.33,1.4,2.08,2.47,3.93,3.04,3.34,2.04,2.5,3.02,4.1,2.61,3.29,2.35,3.28,3.35,5.21,3.6,,,,,,,,
March,,,,,,1.42,3.8,3.67,2.03,2.91,2.14,5.04,3.33,1.56,3.87,3.27,3.01,1.56,4.39,3.48,2.84,2.32,0.86,1.38,2.96,4.24,4.99,5.65,1.68,2.15,1.12,3.26,2.46,4.77,2.01,3.92,2.96,4.89,4.71,4.21,1.67,,,,,,,,,
April,,,,,,0.47,2.36,4.13,1.13,2.17,4.57,2.07,4.4,1.66,1.34,2.16,1.7,2.27,1.95,3.57,1.84,2.79,1.44,1.97,1.96,2.18,1.97,2.77,3.7,4.79,3.98,2.87,2.94,1.82,3.2,2.93,2.57,2.34,4.09,4.49,2.98,,,,,,,,,
May,,,,,,2.05,0.57,3.01,4.77,4.62,1.31,4.25,2.28,2.55,3.52,2.88,5.48,2.71,2.9,1.89,2.16,3.92,4.94,1.6,3.3,0.31,0.84,2.32,3.85,3.53,3.1,1.72,3.71,2.74,2.92,2.45,4.42,4.09,2.48,1.51,3.01,,,,,,,,,
June,,,,,,3.55,3.23,2.6,3.39,5.6,2.13,4.46,4.83,1.93,0.9,1.15,1.44,0.78,4.65,0.53,4.02,2.5,4.6,1.3,4.25,2.81,3.67,5.99,3.53,2.16,3.89,3.81,2.84,2.05,1.35,3.82,1.31,5.73,3.89,2.36,3.47,,,,,,,,,
July,,,,,,3.48,2.13,4.65,1.77,6.81,7,3.59,5.99,2.57,4.35,2.32,4.02,3.65,6.02,3.48,2.59,2.4,3.16,3.17,5.2,5.84,7.74,2.34,0.74,2.88,4.5,1.37,5.08,4.91,3.75,1.93,2.25,2.92,3.77,4.37,5.38,,,,,,,,,
August,,,,,,3.45,3.37,3.64,3.68,5.1,0.69,5.14,4.3,6.2,3.24,2.67,3.23,3.38,4.17,7.98,3.58,5.86,5.81,5.61,2.36,5.95,2.73,5.44,5.56,1.84,5.59,3.83,3.25,5.94,4.9,6.64,5.47,3.95,2.85,3.11,6.18,,,,,,,,,
September,,,,,,3.04,4.04,2.41,3.56,5.56,3.7,3.13,4.54,5.8,3.43,5.97,3.65,4.82,1.93,3.31,4.25,3.16,2.91,2.54,0.3,0.6,5.13,2.92,4.09,3.43,2.56,3.67,5.52,3.69,3.89,1.99,1.45,1.37,4.92,2.14,1.35,,,,,,,,,
October,,,,,,4.98,5.56,5,4.31,2.03,1.41,4.48,2.97,4.13,2.97,4.53,5.39,2.29,1.62,4.02,3.14,4.38,4.59,3.12,7.26,4.94,3.58,2.18,3.91,2.55,4.86,4.73,1.99,7.3,1.26,1.65,4.79,4.28,2.38,5.83,2.21,,,,,,,,,
November,,,,,,4.53,4.51,5.48,2.41,1.15,3.65,2.99,7.64,4.99,3.51,2.83,4.85,3.02,6.72,2.26,9.58,3.27,3.72,2.53,2.26,3.25,2.04,3.22,3.64,3.62,5.53,4.11,3.67,2.59,2.87,3.75,3.41,2.93,3.05,1.45,4.69,,,,,,,,,
December,,,,,,2.37,8.85,4.84,2.41,1.81,3.51,4.6,4.74,2.75,4.71,2.2,6.73,2.85,3.17,3.25,2.44,5.45,3.73,4.44,3.88,4.99,5.73,5.38,2.97,5.4,3.47,4.69,3.71,3.07,2.95,2.78,4.61,4.28,4.64,4.07,5.09,,,,,,,,,
Total,,,,,,35.39,44.96,50.63,36.88,42.91,34.17,44.75,50.45,42.14,41.37,37.06,47.79,31.81,41.12,40.87,41.54,37.94,41.37,34.96,42.87,39.61,42.8,42.79,39.84,40.02,45.89,39.15,40.07,47.23,36.65,37.08,41.25,41.67,43.61,39.44,45.12,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gauge moved 1 mile N to Cavehill Road, in March 1st 1911",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_30_pt1-page-136.csv - SPLIT ACROSS THE TWO SITES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
