MARKET-DRAYTON-OLD-SPRINGS-NEW-GAUGE,,,,,,,,,,,
Grid ref,SJ700322,Long,-2.447288,Lat,52.886413,Elevation,422,ft.,,,
Station no,2325,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,,4.46
February,,,,,,,,,,0.65,0.4
March,,,,,,,,,,0.52,3.05
April,,,,,,,,,,0.7,2.47
May,,,,,,,,,,1.91,1.89
June,,,,,,,,,,1.82,1.09
July,,,,,,,,,,1.9,5.84
August,,,,,,,,,,2.77,3.07
September,,,,,,,,,,1.42,3.19
October,,,,,,,,,,4.34,3.71
November,,,,,,,,,,5.45,2.7
December,,,,,,,,,,4.74,3.29
Total,,,,,,,,,,,35.16
,,,,,,,,,,,
NOTES,,,,,,,,,,,
NGR is Old Springs. Altitudes match. This gauge was used as a check gauge for the old gayge,,,,,,,,,,,
