LICHFIELD-ST-MICHAELS-RECTORY-OBSERVER-REED,,,,,,,,,,
Grid ref,SK123096,Long,-1.8194875,Lat,52.683957,Elevation,280,ft.,,
Station no,2339/2,,,,,,,,,
,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,1.17,
February,,,,,,,,1.03,0.69,
March,,,,,,,,0.89,1.51,
April,,,,,,,,2.05,,
May,,,,,,,,2.01,,
June,,,,,,,,3.14,,
July,,,,,,,,1.97,,
August,,,,,,,,5.04,,
September,,,,,,,,2.29,,
October,,,,,,,,2.13,,
November,,,,,,,,1.59,,
December,,,,,,,,3.51,,
Total,,,,,,,,,,
,,,,,,,,,,
"NGR is the rectory. Altitudes is 30 to 40 ft too high, it is assumed this is the same rectory as in the 1800s; the relationship to the church is broadly the same.",,,,,,,,,,
