LICHFIELD-ST-MICHAELS-RECTORY-OBSERVER-SERGEANTSON,,,,,,,,,,,,,,,,,,,,
Grid ref,SK123096,Long,-1.8194875,Lat,52.683957,Elevation,320,ft.,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,3.61,2.47,2.19,3.23,2.09,3.77,2.34,1.74,,0.55,2.67,3.2,2.69,,,,,
February,,,2.43,0.97,2.06,0.99,2.82,2.12,1.1,3.25,,3.25,2.4,2.87,1.65,,,,,
March,,,1.61,3.06,1.16,0.65,2.7,2.29,0.84,0.93,,3.1,1.88,1.36,2.3,,,,,
April,,,2.9,0.43,1.61,0.69,2.71,2.26,1.87,2.71,,0.74,3.61,1.52,1.59,,,,,
May,,,2.39,2.51,2.4,1.65,0.71,2.88,5.24,2.99,,1.3,3.78,1.75,1.16,,,,,
June,,,5.24,5.03,1.18,3.97,3.41,1.52,4.25,5.84,,2.3,5.16,2.6,1.81,,,,,
July,,,4.78,2.64,1.59,7.81,2.54,4.6,2.21,3.55,,1.74,3.09,3.73,2.73,,,,,
August,,,2.7,3.3,2.59,3.21,2.12,3.27,6.9,6.14,,4.45,2.15,1.46,2.07,,,,,
September,,,3.37,1.88,3.73,3.74,4.97,2.28,2.16,3.69,,1.88,1.66,5.43,1.82,,,,,
October,,,5.07,2.24,2.42,6.51,1.51,1.8,3.31,1.03,,3.34,5.6,2.19,1.44,,,,,
November,,,3.21,1.85,3.36,4.06,3.89,3.05,3.15,1.21,,2.33,4.08,3.87,1.34,,,,,
December,,,4.15,0.52,1.85,1.19,4.56,1.87,2.41,0.9,,2.93,4.95,1.13,2.4,,,,,
Total,,,41.46,26.9,26.14,37.7,34.03,31.71,35.78,33.98,,27.91,41.03,31.11,23,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is the rectory. Altitudes match.,,,,,,,,,,,,,,,,,,,,
