"BRECHIN, ARGYLL ST.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 59506 60415,Long,-2.663473,Lat,56.733622,Elevation,225,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,2.3,3.17,2.27,5.3,2.09,5.37,1.88,2.52,3.71,1.95,2.62,1.62,1.31,5.61,5.95,3.71,4.74,1.97,4.54,6.31,3.67,1.41,4.5,,,,,
February,,,,7.75,1.68,4.44,5.8,1.72,1.58,2.84,1.53,1.87,0.2,2.71,0.17,2.15,3.77,3.39,0.74,3.07,1.9,5.94,2.27,1.37,0.95,2.57,,,,,
March,,,,1.7,0.71,1.48,0.96,2.78,4.81,0.25,1.44,1.53,2.79,2.42,3.21,1.87,2.26,4.2,0.44,2.77,2.97,1.77,2.59,0.58,0.66,,,,,,
April,,,,2.8,2.01,3.14,2.26,1.74,1.02,1.53,2.76,2.01,3.3,1.36,6,4.81,0.48,2.16,0.41,0.64,1.75,2.39,1.42,1.14,2.08,,,,,,
May,,,,2.59,4.49,3.87,2.37,2.95,1.58,2.8,1.77,3.66,3.24,1.59,2.63,1.03,1.47,2.32,3.06,1.51,4.33,2.2,3.58,4.24,2.7,,,,,,
June,,,,0.68,2.2,0.76,3.26,3.97,2.98,1.77,2.38,5.61,1.15,1,1.01,4.05,1.01,1.95,3.49,1.19,0.15,1.36,1.04,1.23,2.99,,,,,,
July,,,,1.73,3.96,1.89,3.06,2.88,1.81,3.6,2.07,4.54,4.86,2.61,2.41,1.41,6.02,3.85,5.37,4.54,5.97,2.98,3.22,1.63,3.42,,,,,,
August,,,,5.13,3.19,2.93,2.36,5.38,5.01,4.75,6.52,2.24,0.97,0.91,3.54,1.9,1.44,3.3,1.33,2.06,1.05,3.33,3.72,4.6,1.66,,,,,,
September,,,,3.35,5.07,3.34,4.39,5.6,2.45,0.59,5.55,1.55,2.42,1.29,3.11,4.15,3.09,1.16,3.92,2.15,1.96,0.57,2.81,2.57,2.35,,,,,,
October,,,,2.87,5.14,2.5,6.26,5.92,3.54,2.97,2.81,0.93,7.18,4.61,3.33,4.65,1.16,3.07,3.58,4.82,5.41,3.84,2.74,3.03,4.94,,,,,,
November,,,,2.92,2.58,1.9,6.44,2.83,2.66,4.14,4.23,6.34,1.43,3.34,0.95,5.34,1.7,0.6,4.13,4.9,6.44,5.66,0.44,1.26,3.69,,,,,,
December,,,,4.1,4.29,2.86,0.38,3.64,2.99,7.14,4.57,1.28,2.59,1.86,6.14,2.7,2.29,3.86,4.36,1.32,1.96,1.63,3.32,1.09,2.98,,,,,,
Total,,,,37.92,38.49,31.38,42.84,41.5,35.8,34.26,38.15,35.27,32.08,26.32,34.12,35.37,30.3,35.81,34.54,33.71,35.86,36.21,33.46,26.41,29.83,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
