NORTHWICH-HIGHFIELD-OLD-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ654734,Long,-2.520093,Lat,53.25647,Elevation,115,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,2.76,2.71,2.36,2.44,2,1.22,,2.29,2.4,2.89,,4.89,3.08,1.89,0.61,0.4,2.23,3.49,3.38,1.65,4.4,2.66,0.96,0.89,2.67,1.51,3.15,1.46,1.89,3.25,1.29,1.41,1.88,3.25,3.36,1.92,1.79,2.56,2.06,,,,,
February,,,,,,,3.1,1.87,1.82,3.17,0.76,3.02,,0.66,1.48,1.01,,3.68,1.34,3.05,1.78,4.43,2.28,2.17,1.77,2.01,0.81,1.03,0.82,2.05,0.72,0.19,1.9,2.75,3.19,0.25,1.67,3.01,2.1,1.25,3.35,1.69,1.46,1.73,3.2,,,,,
March,,,,,,,1.76,1.6,3.1,1.49,1.77,1.33,,,1.55,0.6,,2.22,1.71,1.12,1.58,3.27,1.75,1.41,2.1,1.7,1.79,1.42,1.32,2.66,2.38,1.54,1.05,0.49,1.58,2.48,3.64,2.1,0.83,1.61,1.28,1.79,1.95,3.64,1.36,,,,,
April,,,,,,,0.85,3.36,1.74,2.2,1.15,2.58,,0.5,1.26,0.47,,2.3,1.74,2.77,1.2,1.19,3.18,1.52,1.14,2.01,1.45,1.36,1.12,2.59,1.2,2.2,1.37,0.73,1.61,2.54,1.73,2.21,1.5,2.82,1.43,1.84,2.13,1.7,1.6,,,,,
May,,,,,,,1.07,1.86,1.22,3.84,0.76,1.23,,1.82,2.05,2.02,,3.2,3.75,2.37,2.75,3.36,1.83,0.94,1.83,2.03,6.44,1.63,0.99,2.44,1.95,2.89,2.69,2.16,2.54,0.55,0.46,1.78,3.99,2.12,1.65,0.98,3.75,3.2,2.04,,,,,
June,,,,,,,2.79,1.39,0.61,1.05,1.8,2.14,,2.78,0.73,2.43,,1.52,3.28,3.74,3.78,2.16,5.35,2.37,0.75,2.81,1.65,1.42,1.65,0.79,2.33,3.42,3.87,1.91,2.98,2.11,3.08,3.12,2.02,2.12,3.27,1.79,1.53,1.69,1.11,,,,,
July,,,,,,,3.19,4.6,0.59,2.05,0.5,4.49,,3.21,2.29,4.67,,5.97,0.96,4.43,4.92,2.89,4.69,2.94,4.05,1.36,2.23,1.14,6.22,4.54,2.02,2.25,3.95,2.17,2.79,3.94,1.64,1.17,0.76,1.92,2.72,3.22,1.94,2.95,1.82,,,,,
August,,,,,,,4.44,1.35,3.26,2.34,1.65,1.84,,3.19,3.38,2.87,,4.07,5.16,4.67,2.34,4,3.57,3.22,1.43,2.25,1.36,1.26,2.85,5.55,3.56,4.17,3.68,2.55,4.84,3.12,3.03,3.8,5.6,1.95,5.15,2.82,3.52,3.65,3.72,,,,,
September,,,,,,,5.63,1.92,1.87,5.85,2.26,4.93,,2.05,2.28,5.29,,2.91,3.81,3.02,3.51,2.65,2.4,5.14,2.26,4.09,3.77,3.21,1.17,4.03,0.92,2.92,2.94,2.31,0.92,1.66,4.62,3.94,0.81,4,1.02,1.19,1.07,4.35,2.15,,,,,
October,,,,,,,1.53,3.73,4.56,2.41,5.39,4.52,,3.2,3.6,4.98,,2.85,2.84,1.81,4.22,2.67,3.06,5.42,1.46,5.98,4.03,2.19,0.94,2.47,2.18,3.57,4.95,2.34,2.78,2.46,4,1.92,3.42,3.28,3.74,2.71,3.26,5.59,1.33,,,,,
November,,,,,,,3.97,1.33,1.89,3.4,2.26,2.5,,2.25,4.31,4.16,,4.83,1.34,1.12,3.88,2.92,4.94,3.16,2.09,2.85,2.83,0.66,3.99,2.04,6.24,2.56,2.68,1.32,2.09,3.27,1.36,3.71,1.54,1.39,2.37,2.89,1.57,3.33,2.03,,,,,
December,,,,,,,3.35,3.47,7.39,3.61,3.05,2.14,,0.78,3.08,1.07,,3.18,1.89,2.29,4.77,3.3,4.83,1.78,2.85,1.74,4.48,2.61,1.86,2.21,0.64,4.43,2.12,3.56,2.91,2.75,3.71,3.35,2.31,2.64,3.86,3.7,2.37,1.13,2.39,,,,,
Total,,,,,,,34.44,29.19,30.41,33.85,23.35,31.94,,,28.41,32.46,,41.62,30.9,32.28,35.34,33.24,40.11,33.56,25.11,30.48,35.24,20.59,23.89,32.26,26.81,31.65,34.35,23.75,30.12,28.38,30.23,31.52,26.76,28.35,33.2,26.54,26.34,35.52,24.81,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Highfield House in Northwich. Stated altitude is 20 to 30 ft too high and the house is closer to the church and station than shown on the record but the record might be indirect not straight line.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There is significant duplication of readings between the two gauges particularly in the early 1900s. The two gauges generally have close readings so some duplication is to be expected but possibly suspicious.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
