BARNHAM-STANTONS,,,,,,,,,,
Grid ref,SU954048,Long,-0.646622,Lat,50.83488,Elevation,35,ft,,
Station no,424/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,3.28
February,,,,,,,,,,4.02
March,,,,,,,,,,2.13
April,,,,,,,,,,0.92
May,,,,,,,,,0.51,1.73
June,,,,,,,,,0.59,1.52
July,,,,,,,,,1,4.07
August,,,,,,,,,1.63,5.16
September,,,,,,,,,0.15,6.32
October,,,,,,,,,3.11,7.4
November,,,,,,,,,3.89,6.51
December,,,,,,,,,7.57,3.97
Total,,,,,,,,,,47.03
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1960 Nov IDR,,,,,,,,,,
