ROMSEY-TIMSBURY-MANOR,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU346244,Long,-1.50779,Lat,51.01819,Elevation,75,ft,,,,,,,,,,,,,
Station no,656,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,2.61,4.87,1.39,4.67,2.15,2.45,2.47,2.72,0.55,5.37,,,,
February,,,,,,,,4.25,2.15,0.74,1.09,2.04,0.06,3.95,0.05,3.62,2.82,,,,
March,,,,,,,,3.41,2.89,0.09,1.25,0.52,1.77,2.92,3.38,1.08,2.76,,,,
April,,,,,,,,1.59,2.11,0.88,3.87,3.01,3.45,1.09,1.79,3.49,1.97,,,,
May,,,,,,,,0.45,1.49,1.57,1.66,3.18,4.38,2.05,0.92,0.9,0.56,,,,
June,,,,,,,,2.55,1.85,1.55,0.92,2.9,1.73,3.08,1.13,4.71,2.91,,,,
July,,,,,,,,2.87,1.14,1.44,1.6,3.58,2.37,2.07,0.95,2.76,3.54,,,,
August,,,,,,,,3.46,2.52,1.46,3,5.28,1.21,0.97,2.75,2.82,1.56,,,,
September,,,,,,,,5.43,1.53,0.2,2.91,1.38,4.45,3.53,1.87,3.99,3.84,,,,
October,,,,,,,,1.96,6.37,4.06,2.1,0.54,5.08,2.1,1.61,5.85,1.51,,,,
November,,,,,,,,3.19,2.43,8.59,5.07,3.73,1.78,0.74,2.3,7.59,2.96,,,,
December,,,,,,,,3.55,2.75,7.44,3.76,0.87,1.24,0.6,8.58,4.19,3.86,,,,
Total,,,,,,,,35.32,32.1,29.41,31.9,29.18,29.97,25.57,28.05,41.55,33.66,,,,
,,,,,,,,,,,,,,,,,,,,,
1929 Sept 26 Gauge moved 40ft S,,,,,,,,,,,,,,,,,,,,,
