"BRANDON NORTH COURT LODGE",,,,,,,,,,,,
Grid ref,TL758848,Long,0.584534,Lat,52.432905,,,,,,,
Station no,1397/3,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,1.70,1.39,1.24,3.35,1.69,0.82,0.77,,
February,,,,0.30,2.74,1.27,2.27,1.02,1.60,0.22,,
March,,,,1.86,1.20,2.33,1.57,1.23,1.60,,,
April,,,,1.55,0.77,1.53,0.95,2.74,3.01,1.07,,
May,,,,2.06,1.98,0.75,1.31,2.51,0.61,1.02,,
June,,,,2.67,0.70,2.66,3.19,2.24,0.96,3.55,,
July,,,,2.71,2.91,0.85,0.38,1.44,3.55,3.32,,
August,,,,2.31,2.88,2.45,0.84,1.67,2.23,2.31,,
September,,,,3.13,1.24,2.44,0.66,0.41,2.20,1.68,,
October,,,,5.82,1.26,2.19,3.40,2.66,0.98,3.10,,
November,,,,2.00,1.35,1.79,3.30,2.51,,0.55,,
December,,,,0.76,1.82,0.82,1.52,2.85,1.52,3.81,,
Total,,,,26.87,20.24,20.32,22.74,22.97,,,,
Calc annual,0.00,0.00,0.00,26.87,20.24,20.32,22.74,22.97,19.08,21.40,,
Difference,NaN,NaN,NaN,-0.00,-0.00,0.00,-0.00,0.00,NaN,NaN,,
