GREENFIELD-LOWER-CHEW-CHECK-GAUGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SE019030,Long,-1.9728112,Lat,53.523664,Elevation,720,ft.,,,,,,,,,,,,
Station no,3095/1/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,2.29,3.71,,,,,,,,,
February,,,,,,,,,,3.6,7.63,,,,,,,,,
March,,,,,,,,,,4.34,7.07,,,,,,,,,
April,,,,,,,,,,3.73,3.94,,,,,,,,,
May,,,,,,,,,,1.02,3.09,,,,,,,,,
June,,,,,,,,,,1.27,1.41,,,,,,,,,
July,,,,,,,,,,6,3.52,,,,,,,,,
August,,,,,,,,,,3.21,,,,,,,,,,
September,,,,,,,,,,6.25,,,,,,,,,,
October,,,,,,,,,,5.35,,,,,,,,,,
November,,,,,,,,,,9.74,,,,,,,,,,
December,,,,,,,,,,6.15,,,,,,,,,,
Total,,,,,,,,,,52.95,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is the same as the main gauge.,,,,,,,,,,,,,,,,,,,,
Gauge is 100 ft lower but could be within 100m of the main gauge,,,,,,,,,,,,,,,,,,,,
