MILNATHORT (LAUREL BANK),,,,,,,,,,
Grid ref,NO124047,Long,-3.414457,Lat,56.226758,Elevation,476,ft,,
Station no,5467,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,3.25,1.82,3.69,5.39,2.68,1.26,3.7
February,,,,2.98,2.95,1.48,3.32,3.13,0.85,3.96
March,,,,3.4,1.92,1.33,2.63,2.79,1.77,1.65
April,,,,1.75,1.07,0.73,1.46,2.16,2.69,2.61
May,,,,6.25,3.05,1.45,2.01,2.67,0.81,3.56
June,,,,2.62,1.57,3.25,1.91,3.18,2.67,1.86
July,,,,2.46,1.39,4.57,4.48,4.81,4.87,4.03
August,,,,4.31,1.07,5.84,5.47,3.8,0.88,6.3
September,,,,3.41,2.3,3.84,1.6,4.18,0.7,1.96
October,,,,7.24,2.89,2.64,3.15,2.19,3.21,6.3
November,,,,5.33,1.46,0.67,2.19,0.81,8,3.68
December,,,,5.64,6.22,4.04,5.85,4.99,6.24,3.5
Total,,,,48.64,27.71,33.53,39.46,37.39,33.95,43.11
,,,,,,,,,,
G move 1954,,,,,,,,,,
,,,,,,,,,,
Station no,5467,,,,,,,,,
Midas,15415,,,,,,,,,
Hyd Stn,886931,,,,,,,,,
