"WEDNESBURY (OCKER HILL)",,,,,,,,,,,,
Grid ref,SO972938,Long,-2.042717,Lat,52.542048,,,,,,,
Station no,2328,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.35,2.10,1.02,,2.31,3.02,0.90,1.53,2.12,,,
February,2.14,0.51,1.31,,1.89,0.41,2.06,4.17,0.19,,,
March,4.58,1.91,1.27,,3.19,1.01,2.08,1.31,1.69,,,
April,2.34,1.87,2.45,,1.54,1.69,0.16,0.23,3.04,,,
May,3.12,2.66,1.84,,4.29,0.58,1.17,2.04,0.81,,,
June,1.24,1.74,2.26,,1.93,1.69,1.35,4.16,0.94,,,
July,1.00,1.14,3.51,,0.71,2.56,4.04,3.59,1.56,,,
August,4.27,2.94,2.61,,0.62,4.61,4.13,1.77,2.67,,,
September,2.43,1.43,1.91,,1.72,2.47,3.80,4.09,0.22,,,
October,0.87,3.52,1.68,,1.37,1.51,1.40,2.22,2.52,,,
November,6.80,2.27,1.65,,2.78,0.49,2.20,1.93,3.35,,,
December,2.26,3.08,1.32,,2.04,2.91,1.39,2.62,3.30,,,
Total,33.40,25.17,22.83,,24.39,22.95,24.68,29.66,22.41,,,
Calc annual,33.40,25.17,22.83,0.00,24.39,22.95,24.68,29.66,22.41,0.00,,
Difference,-0.00,0.00,0.00,NaN,0.00,0.00,0.00,0.00,0.00,NaN,,
