WEDNESBURY OCKER HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO972938,Long,-2.042717,Lat,52.542048,Elevation,474,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,1.73,0.89,2.67,2.93,1.52,0.75,1.99,2.03,0.97,3.01,1.02,0.97,1.27,1.88,0.62,3.05,3.87,1.08,3.22,0.97,1.83,2.18,3.3,3.11,2.3,3.71,1.86,2.83,2.04,2.79,2.64,4.34,1.19,5.47,1.88,1.96,1.8,2.89,0.95,3.36,3.36,3.1,5.5,2.58,4.04,3.39,4.91,2.3,1.36,2.01,2.05,4.94,1.65,0.81,2.35,2.1,1.02,,2.31,3.02,0.9,1.53,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,2.4,1.53,1.48,3.12,1.15,1.04,0.95,3.15,0.57,1.79,1.12,1.36,0.52,3.26,1.62,1.19,0.73,1.79,3.19,3.75,0.98,1.3,2.77,1.43,0.2,3.31,5.32,0.59,2.96,1.93,2.33,2,0.54,0.62,2.43,0.25,2.99,0.39,2.58,2.75,3.91,0.65,1.16,2.25,2.32,0.95,1.49,1.82,1.67,2.78,2,1.51,0.8,3.99,2.14,0.51,1.31,,1.89,0.41,2.06,4.17,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,1.7,0.84,0.81,0.65,1.66,1.14,3.96,1.37,2.57,0.96,0.97,2.88,2.53,0.4,1.61,4.07,4.72,2.22,0.77,3.1,1.66,1.61,4.31,2.22,1.11,1.92,1.55,1.19,1,0.56,2.35,2.1,0.09,2.91,0.11,1.49,2.65,2.46,0.71,1.96,2.68,0.55,1.41,1.58,2.6,1.71,0.84,0.43,0.94,0.81,5.96,1.19,1.95,0.71,4.58,1.91,1.27,,3.19,1.01,2.08,1.31,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,1.26,1.43,1.74,0.87,1.48,1.66,1.36,1.03,1.68,1.21,1.64,2.57,1.86,2.05,0.95,0.28,3.32,0.88,1.25,1.38,1.21,2.59,1.71,3.93,1.06,2.43,2.32,2.69,2.13,2.02,1.64,1,0.64,2.96,4.03,3.62,0.76,2.39,3.62,2.31,2.58,0.22,1.76,3.46,1.54,1.58,0.91,1.71,1.15,2.07,2.05,1.8,2.34,2.06,2.34,1.87,2.45,,1.54,1.69,0.16,0.23,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,1.33,3.59,1.53,1.6,0.96,2.75,1.87,2.07,0.33,2.37,3.55,3.34,1.32,1.58,0.62,2.53,1.8,1.5,2.2,2.21,2.96,4.36,0.97,2.5,1.51,1.23,1.59,4.88,3.51,3.4,1.74,0.17,1.95,2.1,3.94,6.09,1.89,1.17,1.26,1.21,2.17,1.9,1.18,2.46,3.11,3.44,3.34,0.67,3.29,3.46,2.29,2.13,2.6,1.83,3.12,2.66,1.84,,4.29,0.58,1.17,2.04,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,3.02,1.27,2.69,2.3,2.42,2.23,1.28,0.27,2.35,2.35,2.8,2.47,3.37,1.49,1.77,5.21,1.57,2.55,0.91,1.6,2.31,0.9,1.2,2.93,0.51,0.83,0.42,1.97,0.28,1.59,4.58,2.65,1.74,1.06,4.46,1.54,1.97,0.99,2.82,3.51,0.75,1.73,1.6,0.73,0.86,0.82,1.32,1.46,2.65,2.38,1.61,3.47,0.35,1.93,1.24,1.74,2.26,,1.93,1.69,1.35,4.16,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,0.97,1.1,1.15,1.94,1.98,1.23,1.25,2.21,1.54,0.72,2.24,2.11,3.58,2.64,0.45,3.06,1.33,2.77,6.57,1.62,1.86,2.53,3.02,3.69,0.46,5.58,3.5,2.97,3.55,2.86,5.11,1.16,1.66,5.4,3.64,3.25,2.03,1.02,0.57,7.24,2.84,2.93,4.77,2.79,3.02,1.71,0.98,2.35,1.95,1.5,5.28,1.56,2.7,2.38,1,1.14,3.51,,0.71,2.56,4.04,3.59,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,6.06,1.6,1.33,2.81,2.19,4.4,4.17,1.77,3.94,1.16,2.54,3.19,1.73,4.29,2.11,6.49,1.64,1.64,1.87,1.96,6.36,1.97,2.69,1.7,3.66,4.4,2.18,2.61,2.98,1.83,4,2.54,1.91,3.18,4.93,2.91,0.84,2.24,1.81,0.72,0.87,3.68,2.97,0.31,4.05,2.36,1.71,1.72,1.55,5.85,1.06,4.68,1.6,2.67,4.27,2.94,2.61,,0.62,4.61,4.13,1.77,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,1.92,0.35,2.22,0.73,0.76,1.05,2.55,1.68,1.21,1.1,0.79,1.57,2.59,0.64,1.58,0.85,1.62,1.1,0.37,1.28,1.98,6.1,1.59,2.01,1.01,3.78,2.67,3.48,3.82,0.83,4.18,0.7,0.6,3.6,2.24,2.23,0.65,1.96,4.58,3.25,2.83,1.8,1.47,0.86,0.72,1.22,2.31,2.89,1.26,3.27,1.61,3.02,1.16,4.05,2.43,1.43,1.91,,1.72,2.47,3.8,4.09,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,0.9,2.46,2.77,2.87,1.26,2.14,4.67,0.35,1.21,4.34,5.05,2,3.19,2.81,1.72,2.51,3.48,1.91,1.89,3.68,3.43,1.12,3.02,3.44,1.97,0.38,3.72,3.83,3.64,2.22,1.65,4.58,3.51,2.78,1.01,4.1,4.35,1.77,3.55,1.73,2.26,2.39,3.38,3.29,2.38,2.53,1.82,2.94,3.56,0.7,0.51,2.53,5.94,0.82,0.87,3.52,1.68,,1.37,1.51,1.4,2.22,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
