"BOLTON W. W. (HORDERN)",,,,,,,,,,,,
Grid ref,SD664153,Long,-2.509594,Lat,53.633137,,,,,,,
Station no,2873,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.19,5.83,2.99,6.51,3.87,7.68,4.40,4.84,3.51,6.21,,
February,4.68,2.29,2.37,5.31,2.98,1.18,3.52,9.68,1.28,4.96,,
March,6.19,3.20,2.86,3.98,2.61,2.04,4.82,2.60,2.55,1.83,,
April,3.10,4.49,4.37,1.34,4.60,3.39,0.81,1.87,3.60,3.44,,
May,3.19,2.89,3.66,3.77,5.81,2.10,2.77,4.98,1.69,2.81,,
June,2.03,5.71,3.29,6.22,4.92,3.54,2.48,5.06,2.81,1.79,,
July,4.61,4.39,6.64,11.07,1.33,7.98,8.75,5.24,6.56,10.18,,
August,6.27,5.44,5.97,8.52,1.91,14.84,8.97,7.50,0.68,6.46,,
September,4.17,6.08,6.11,7.02,6.33,4.94,10.07,6.32,0.54,4.15,,
October,1.14,5.64,2.71,10.61,3.19,3.78,7.72,5.63,5.59,5.68,,
November,10.61,3.48,7.18,8.91,3.66,2.13,2.40,2.42,6.25,9.05,,
December,12.38,5.44,2.59,8.81,6.81,5.58,6.07,4.96,9.36,6.56,,
Total,65.56,54.88,50.74,82.07,48.02,59.18,62.78,61.10,44.42,63.12,,
Calc annual,65.56,54.88,50.74,82.07,48.02,59.18,62.78,61.10,44.42,63.12,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,,
