HORSLEY-GATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK308769,Long,-1.539445,Lat,53.288178,Elevation,650,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,2719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,5.17,3.46,3.03,2.19,3.21,2.31,3.82,5.91,4.1,7.01,3.87,5.61,3.61,5.01,4.04,3.46,4.04,3.47,7.86,1.89,
February,,,,,,,,,,,0.93,4.45,0.43,5.29,0.49,4.23,3.67,6.85,1.47,2.09,3.15,4.48,2.3,2.63,3.14,3.09,4.71,2.85,2.29,1.67,
March,,,,,,,,,,,3.95,0.31,2.26,2.98,3.9,1.58,2.38,3.96,0.48,2.96,2.3,5.91,2.44,1.25,0.58,0.59,1.55,5.93,1.19,1.5,
April,,,,,,,,,,,3.31,4.86,4.13,1.06,3.27,3.33,2.13,2.32,0.28,2.37,3.21,1.79,1.49,1.64,2.43,2.03,1.39,3.24,2.24,2.82,
May,,,,,,,,,,,1.41,2.82,6.4,2.01,1.51,0.34,1.56,3.75,2.77,1.74,1.32,2.64,4.81,3.08,2.42,2.86,2.31,2.72,1.94,2.06,
June,,,,,,,,,,,1.13,4.54,0.64,2.04,0.75,4.09,4.28,1.39,2.61,2.9,0.83,0.31,1.02,1.85,1.9,3.45,3.98,2.32,4,0.97,
July,,,,,,,,,,,6.34,4.79,4.96,2.26,2.15,1.44,4.74,3.32,4.13,5.25,3.12,4.48,2.25,1.49,3.14,2.17,4.01,1.72,1.23,4.49,
August,,,,,,,,,,,3.29,6.57,2.43,0.34,1.91,2.16,1.26,0.87,2.18,2.7,0.63,3.89,3.66,2.51,2.9,3.65,5.25,0.6,4.8,1.94,
September,,,,,,,,,,,5.01,4.59,2.11,1.33,1.95,4.01,3.36,1.37,2.51,1.97,1.75,0.43,1.87,3.76,5.01,1.18,4.95,1.71,1.87,1.11,
October,,,,,,,,,,,3.83,1,5.04,6.37,2.91,6.22,4.15,3.26,4.75,4.3,4.63,3.63,2.99,2.37,3.9,6.35,1.8,0.64,1.97,3.7,
November,,,,,,,,,,,3.77,4.7,3.1,2.34,2.74,6.51,3.76,2.63,4.75,5.25,7.37,4.15,1.44,3.14,5.63,0.57,7.31,3.07,1.63,4.92,
December,,,,,,,,,,,3.24,1.63,1.35,0.61,5.9,5.21,3.51,4.07,4.69,2.06,3.62,1.38,2.74,1.34,2.94,1.94,3.74,3.86,3.87,5.13,
Total,,,,,,,,,,,41.38,43.72,35.88,28.82,30.69,41.43,38.62,39.7,34.72,40.6,35.8,38.7,30.62,30.07,38.03,31.34,45.04,32.13,34.89,32.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1940s record and is in Horsley Gate. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb and Mar 1947 estimated for snow but left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
