BATH-LOWER-SWAINSWICK,,,,,,,,,,,,,,,,,,,,
Grid ref,ST763669,Long,-2.34099,Lat,51.40121,Elevation,145,ft,,,,,,,,,,,,
Station no,1986/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,1.95,1.01,4.08,4.72,3.44,4.86,2.54,4.01,3.49,5.64,1.93,1.89,,,,,
February,,,,0.12,2.42,2.95,5.11,0.98,1.54,3.16,2.68,0.49,1.6,0.76,2.98,,,,,
March,,,,3.15,0.94,2.33,4.46,0.15,1.6,2.25,3.93,1.63,1.1,0.49,0.98,,,,,
April,,,,2.73,5.54,2.5,2.89,0.1,3.07,2.22,1.21,1.38,0.79,1.84,1.01,,,,,
May,,,,1.27,1.39,0.36,2.4,1.84,0.95,1.87,1.36,5.05,2.96,1.22,2.6,,,,,
June,,,,1.86,6.84,2.3,1.29,0.95,2.53,0.55,2.17,0.23,1.64,2.06,3.6,,,,,
July,,,,1.52,1.29,6.4,2.57,3.87,4.61,3.61,1.84,2.97,2.1,2.19,1.33,,,,,
August,,,,3.07,1.72,0.4,0.98,2.48,2.92,0.07,4.65,4.23,2.82,2.15,3.12,,,,,
September,,,2.69,2.51,5.64,3.73,2.35,3.3,1.62,1.65,0.43,1.98,2.89,2.31,2.13,,,,,
October,,,2.58,1.89,5.02,1.49,3.43,4.93,3.45,3.49,1.92,3.6,3.66,5.23,3.8,,,,,
November,,,0.68,1.43,6.8,3.06,1.69,4.44,5.88,8.92,1.58,1.27,2.07,5.8,0.3,,,,,
December,,,1.21,6.43,4.03,3.05,2.11,3.6,2.1,1.43,1.94,3.91,1.74,2.64,4.37,,,,,
Total,,,,27.93,42.64,32.65,34,30.08,35.13,31.76,27.72,30.23,29.01,28.62,28.11,,,,,
,,,,,,,,,,,,,,,,,,,,
Oriel Lodge,,,,,,,,,,,,,,,,,,,,
1946 Jan 16 Gauge moved to Bathwick Grange Bath Stn No 1984/6,,,,,,,,,,,,,,,,,,,,
