"HAWKHURST (BODIAM)",,,,,,,,,,,,
Grid ref,TQ785249,Long,0.542332,Lat,50.995810,,,,,,,
Station no,561/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.94,3.58,1.25,1.82,4.29,5.28,2.94,4.60,3.11,2.75,,
February,7.42,1.27,1.79,2.45,1.86,0.84,4.99,2.91,0.05,3.22,,
March,4.57,2.87,0.18,3.78,1.78,0.68,1.11,1.30,1.90,2.59,,
April,2.65,1.88,2.44,0.34,0.31,1.26,0.20,1.50,2.84,0.94,,
May,1.90,1.35,1.44,2.17,4.57,0.37,1.03,2.32,0.84,2.22,,
June,1.46,0.90,2.00,3.54,2.01,2.36,1.30,3.92,0.80,2.20,,
July,1.56,0.65,5.01,4.12,0.78,2.74,4.64,2.43,2.91,3.46,,
August,4.59,4.57,2.17,3.64,2.30,2.88,2.86,3.39,0.67,4.91,,
September,3.68,4.25,4.43,3.35,2.05,3.28,3.35,3.37,0.13,3.04,,
October,3.04,3.73,3.00,2.51,5.91,1.46,1.83,4.61,3.78,9.34,,
November,6.33,4.27,2.14,6.77,1.41,0.59,3.36,2.25,5.39,7.88,,
December,3.54,4.06,0.85,2.42,3.69,4.49,2.33,4.34,9.04,4.50,,
Total,45.68,33.38,26.70,36.91,30.96,26.23,29.94,36.94,31.46,47.05,,
Calc annual,45.68,33.38,26.70,36.91,30.96,26.23,29.94,36.94,31.46,47.05,,
Difference,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
