SANDWICH-ROYAL-ST-GEORGES-GOLF-CLUB,,,,,,,,,,,,,,,,,,,,
Grid ref,TR349581,Long,1.3663839,Lat,51.2736,Elevation,3,ft,,,,,,,,,,,,
Station no,RR6932,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,1.97,3.24,1.11,2.09,0.78,1.43,0.46,2.32,1.21,1.34,3.13,0.86,2.11,,,,
February,,,,1.5,2.11,0.89,1.68,1.36,1.09,0.9,2.06,0.61,1.19,0.77,1.6,4.9,,,,
March,,,,1.92,1.19,2.18,1.57,0.57,2.06,2.8,1.46,3.18,1.93,1.52,3.08,1.11,,,,
April,,,,2.01,1.27,2.71,0.63,2.2,1.75,1.18,1.78,0.89,0.21,1.98,1.19,1.3,,,,
May,,,,2.51,2.31,1.22,2.45,2.8,1.11,0.76,3.85,0.33,1.31,1.13,1.06,3,,,,
June,,,,5.01,0.82,4.03,2.39,1.96,1.19,2.32,3.55,1.74,2.69,1.24,1.4,0.26,,,,
July,,,,3.63,0.72,0.88,0.4,1.22,2.49,1.95,1.95,0.42,2.37,1.53,3.4,1.98,,,,
August,,,,2.98,1.16,1.47,0.48,1.58,2.15,2.43,1.68,1.37,4.61,1.38,0.58,1.17,,,,
September,,,,1.88,1.57,2.02,1.76,0.33,1.05,1.66,0.6,0.92,3,3.39,0.41,2.68,,,,
October,,,,3.98,1.82,1.58,1.98,4.52,1.12,6.15,1.33,4.12,2.94,3.79,3.01,2.78,,,,
November,,,,2.75,1.12,2.74,5.02,1.77,0.86,0.41,3.89,2.75,1.49,2.82,2.78,3.16,,,,
December,,,,2.01,1.94,0.41,1.87,1.84,2.22,3.4,3.57,2.93,1.57,1.38,4.75,5.15,,,,
Total,,,,32.15,19.27,21.24,22.32,20.93,18.52,24.42,28.04,20.47,24.65,24.06,24.12,29.6,,,,
