"TEWKESBURY (FORTHAMPTON COURT)",,,,,,,,,,,,
Grid ref,SO870318,Long,-2.190704,Lat,51.984503,,,,,,,
Station no,2138,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.48,1.71,0.58,1.19,2.36,2.75,1.58,,,3.94,,
February,2.72,0.57,1.33,2.06,1.26,0.28,2.60,,,2.00,,
March,3.68,2.04,1.11,1.99,1.80,0.45,2.26,,,1.24,,
April,2.56,2.39,2.65,0.30,0.98,1.21,0.08,,,1.14,,
May,3.62,3.74,2.28,2.36,4.85,0.72,1.25,,0.52,1.08,,
June,0.61,2.26,1.69,3.98,3.71,1.69,1.27,,1.24,2.43,,
July,0.90,0.37,3.78,1.77,0.37,3.15,2.97,,1.47,2.47,,
August,4.08,4.11,2.43,3.54,0.32,4.25,4.38,,0.94,3.24,,
September,2.17,1.00,2.48,2.07,0.85,2.79,3.79,,0.10,3.90,,
October,1.38,4.39,1.94,3.14,0.80,1.69,1.15,,1.83,5.61,,
November,5.78,3.04,0.78,5.19,3.22,0.76,1.78,,3.98,4.10,,
December,2.02,2.08,0.75,1.88,2.07,2.08,2.33,,4.73,2.30,,
Total,32.00,27.70,21.80,29.47,22.59,21.82,25.44,,,33.45,,
Calc annual,32.00,27.70,21.80,29.47,22.59,21.82,25.44,0.00,14.81,33.45,,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,NaN,NaN,0.00,,
