"BEARSDEN, GLENGARNOCK",,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 54483 71804,Long,-4.329973,Lat,55.917245,Elevation,132,ft,,,,,,,,,,,,,
Station no,5335,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,5.04,5.23,5.63,5.39,9.12,1.63,4.87,3.94,7.12,3.99,5.01,2.12,5.22,4.06,,,
February,,,,,1.15,3.56,5.16,3.28,4.63,2.07,0.24,4.32,0.05,3.84,0.57,4.87,1.75,5.44,,,
March,,,,,0.77,2.42,3.13,3.3,4.23,0.69,2.91,1.76,2.34,2.12,2.47,1.93,2.95,1.56,,,
April,,,,,2.67,4.19,2.38,2.76,1.26,1.14,1.39,1.84,3.72,2.13,3.27,2.91,1.07,1.85,,,
May,,,,,4.55,6.51,2.87,3.13,2.1,2.68,1.78,4.99,3.9,2.59,2.82,0.48,1.38,1.77,,,
June,,,,,2.03,0.56,2.33,4.54,5.47,2.99,3.74,5.01,1.78,1.55,2.03,4.22,2.18,3.53,,,
July,,,,,4.18,2.11,2.94,4.32,2.41,3.09,3.64,4.5,2.77,3.54,2.57,2.04,5.16,3.74,,,
August,,,,,3.83,3.67,3.29,7.29,4.17,6.71,6.64,2.26,2.03,3.21,4.62,2.87,3.21,3.29,,,
September,,,,,3.43,3.35,3.28,5.77,3.1,1.38,4.73,1.18,3.85,0.56,4.99,6.38,4.45,2.46,,,
October,,,,,3.32,3.52,6.49,5.89,6.94,5.89,5.82,3.48,6.59,2.88,6.58,10.46,5.37,3.94,,,
November,,,,,3.59,0.87,6.66,4.08,5.54,6.9,5.22,7.06,3.9,2.14,1.18,4.51,3.82,0.6,,,
December,,,,,6.49,3.26,2.53,1.54,4.39,10.04,4.27,3.64,7.02,0.93,5.56,3.23,6.44,2.59,,,
Total,,,,,41.05,39.25,46.69,51.29,53.36,45.21,45.25,43.98,45.07,29.48,41.67,46.02,43,34.83,,,
,,,,,,,,,,,,,,,,,,,,,
Station no,5335,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,
