PETERSFIELD-TILMORE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU747244,Long,-0.93569,Lat,51.01474,Elevation,250,ft,,,,,,,,,,,,,
Station no,731,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,5.96,1.41,5.47,2.81,3.13,2.67,3.06,0.92,7.06,9.07,,,
February,,,,,,,,,2.08,1.08,1.13,2.04,0.28,5.73,0.09,4.46,3.45,6.23,,,
March,,,,,,,,,2.79,0.09,1.13,0.62,1.89,4.28,3.3,0.86,2.65,5.36,,,
April,,,,,,,,,2.09,0.8,2.76,4.16,3.45,0.85,2.52,4.09,2.54,4.37,,,
May,,,,,,,,,2.09,2.35,2.22,2.88,4.07,2.51,0.73,1.08,0.72,3.61,,,
June,,,,,,,,,2.94,1.92,0.39,1.73,2.38,1.97,1.8,3.36,3.18,1.3,,,
July,,,,,,,,2.68,1.78,1.99,2.67,3.22,4.23,2.34,1.39,0.98,4.73,1.19,,,
August,,,,,,,,4.51,2.79,1.87,4.96,6.51,1.09,0.96,3.26,2.85,1.51,,,,
September,,,,,,,,6.71,1.18,0.41,3.77,2.33,3.82,3.97,2.79,4.53,2.96,,,,
October,,,,,,,,2.81,7.76,4.73,2.22,0.6,7.05,2.36,1.99,5.83,1.53,,,,
November,,,,,,,,3.97,3.23,9.7,6.65,4.28,1.92,0.8,3.92,9.24,4.93,,,,
December,,,,,,,,5.05,3.58,8.38,3.92,0.51,1.22,0.75,10.52,5.12,4.04,,,,
Total,,,,,,,,,38.27,34.73,37.29,31.69,34.53,29.19,35.37,43.32,39.3,,,,
,,,,,,,,,,,,,,,,,,,,,
1927 Gauge from Highgate Mddx,,,,,,,,,,,,,,,,,,,,,
Average computed from 1928-1935 Rejected as 2.5in low,,,,,,,,,,,,,,,,,,,,,
1937 Station terminated Observer moved,,,,,,,,,,,,,,,,,,,,,
