SKYE LOCH HARPORT DRYNOCH,,,,,,,,,,,,,,,,,,,,
Grid ref,NG406317,Long,-6.30824,Lat,57.301938,Elevation,40,ft,,,,,,,,,,,,
Station no,RR8210,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,6.71,7.36,7.04,7.97,6.47,3.54,7.35,6.15,8.23,6.5,8.67,7.49,6.14,,
February,,,,,,7.19,5.96,7.87,6.73,3.02,9,8.94,6.68,4.47,8.64,7.82,7.8,1.61,,
March,,,,,,7.79,2.52,8.14,6.8,2.96,8.4,4.25,5.14,8.62,4.43,5.05,1.6,3.86,,
April,,,,,,4.35,5.34,4.18,3.24,5.11,7.99,6.33,4.44,2.2,7.82,6.19,4.91,2.18,,
May,,,,,,3.32,4.67,3.44,4.17,5,5.06,5.74,3.57,1.27,2.34,0.8,3.82,1.64,,
June,,,,,,2.01,2.04,6.72,4.49,1.39,1.8,5.07,4.61,2.54,4.76,0.73,2.49,4.27,,
July,,,,,,5.1,5.37,2.98,3.27,7.37,3.9,8.33,4.87,1.46,1.7,4.14,2.1,0.4,,
August,,,,,,4.91,5.16,7.54,4.63,5.72,7.14,6.79,5.15,2.74,5.69,3.31,4.08,2.87,,
September,,,,,,8.23,4.18,2.53,11.75,2.99,3.06,7.47,2.8,5.06,6.04,2.79,3.08,6.42,,
October,,,,,,7.35,6.57,4.89,2.91,8.79,6.46,3.17,10.25,8.48,4.88,3.08,6.18,13.52,,
November,,,,,,6.67,7.49,8.62,7.15,6.02,5.37,8.12,10.06,11.41,7.87,4.86,8.61,4.14,,
December,,,,,,6.54,8.38,8.93,9.78,7.86,7.51,10.58,12.65,9.11,8.94,7.63,6.31,5.52,,
Total,,,,,,70.17,65.04,72.88,72.89,62.7,69.23,82.14,76.37,65.59,69.61,55.07,58.47,52.57,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR8210,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
