SKYE LOCH HARPORT DRYNOCH,,,,,,,,,,,,
Grid ref,NG406317,Long,-6.308240,Lat,57.301938,,,,,,,
Station no,RR8210,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,6.71,7.36,7.04,7.97,6.47,,
February,,,,,,7.19,5.96,7.87,6.73,3.02,,
March,,,,,,7.79,2.52,8.14,6.80,2.96,,
April,,,,,,4.35,5.34,4.18,3.24,5.11,,
May,,,,,,3.32,4.67,3.44,4.17,5.00,,
June,,,,,,2.01,2.04,6.72,4.49,1.39,,
July,,,,,,5.10,5.37,2.98,3.27,7.37,,
August,,,,,,4.91,5.16,7.54,4.63,5.72,,
September,,,,,,8.23,4.18,2.53,11.75,2.99,,
October,,,,,,7.35,6.57,4.89,2.91,8.79,,
November,,,,,,6.67,7.49,8.62,7.15,6.02,,
December,,,,,,6.54,8.38,8.93,9.78,7.86,,
Total,,,,,30.83,70.17,65.04,72.88,72.89,62.70,,
Calc annual,0.00,0.00,0.00,0.00,0.00,70.17,65.04,72.88,72.89,62.70,,
Difference,NaN,NaN,NaN,NaN,30.83,0.00,0.00,0.00,0.00,0.00,,
