"SUNDERLAND MOWBRAY PARK",,,,,,,,,,,,
Grid ref,NZ398567,Long,-1.380852,Lat,54.903444,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.64,1.64,0.79,2.48,1.96,0.31,2.64,0.35,1.09,0.62,,
February,4.79,1.89,1.29,1.03,2.22,0.71,1.14,1.22,1.04,1.32,,
March,1.82,1.87,0.68,1.06,1.01,1.44,1.08,1.04,2.64,4.09,,
April,0.81,0.84,1.31,1.77,1.04,2.50,0.85,2.17,2.65,2.53,,
May,1.18,2.46,2.22,2.13,2.65,0.60,5.30,4.39,1.29,1.72,,
June,3.77,1.64,2.40,2.95,1.46,0.74,1.15,2.49,1.07,2.33,,
July,1.96,3.02,2.64,4.79,1.34,1.07,0.92,1.81,2.58,2.54,,
August,5.14,2.53,2.09,2.48,2.77,2.52,2.23,2.38,1.62,2.73,,
September,0.70,1.24,0.80,2.70,0.88,1.92,0.45,0.41,1.71,1.78,,
October,7.32,1.93,2.38,8.24,0.54,3.43,5.26,3.38,1.26,2.41,,
November,2.68,4.87,1.41,2.52,2.73,4.45,2.70,1.60,1.18,1.17,,
December,2.06,3.51,2.78,1.48,2.10,0.31,2.17,2.77,1.10,3.72,,
Total,34.87,27.44,20.79,33.63,20.70,20.00,25.89,24.01,19.23,26.96,,
Calc annual,34.87,27.44,20.79,33.63,20.70,20.00,25.89,24.01,19.23,26.96,,
Difference,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,,
