MIDDLESBROUGH - LINTHORPE,,,,,,,,,
Grid ref,NZ490178,Long,-1.244,Lat,54.553,Elevation,48,ft,
Station no,RR6011,,,,,,,,
,,,,,,,,,
,1906,1907,1908,1909,1910,1911,1912,1913,1914
January,2.31,0.31,1.11,0.53,1.58,0.90,2.06,2.81,1.62
February,0.97,1.06,1.29,1.08,1.47,0.91,1.46,0.68,1.02
March,1.00,0.73,1.97,3.74,0.34,1.70,1.76,1.75,1.26
April,0.54,1.20,2.25,1.88,2.02,1.09,0.11,2.58,0.47
May,2.63,3.77,1.82,1.88,1.82,0.58,2.48,1.99,1.87
June,0.79,3.42,0.65,2.37,2.18,3.47,4.63,1.82,3.78
July,1.05,1.49,2.68,2.62,2.54,0.73,2.66,0.88,4.72
August,2.91,2.02,1.32,5.64,2.76,2.80,3.63,1.63,0.77
September,0.58,0.40,1.60,1.80,0.28,1.83,1.19,1.87,2.36
October,4.25,3.97,1.20,2.50,2.66,2.05,1.98,3.40,2.28
November,2.59,2.06,1.34,1.78,1.76,3.34,1.96,1.48,2.46
December,1.91,2.96,0.80,2.91,1.24,2.38,0.90,1.59,3.25
Total,21.53,23.39,18.03,28.73,20.65,21.78,24.82,22.48,25.86
,,,,,,,,,
TYRain_1900-1909_22_pt1/052,,,,,,,,,
TYRain_1910-1919_21_pt1/073,,,,,,,,,
,,,,,,,,,
# Detailed location not determined. Grid reference based on church directions.,,,,,,,,,
