MIDDLESBROUGH LINTHORPE,,,,,,,,,,,,
Grid ref,NZ489178,Long,-1.245470,Lat,54.553091,,,,,,,
Station no,RR6011,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,2.31,0.31,1.11,0.53,,
February,,,,,,,0.97,1.06,1.29,1.08,,
March,,,,,,,1.00,0.73,1.97,3.74,,
April,,,,,,,0.54,1.20,2.25,1.88,,
May,,,,,,,2.63,3.77,1.82,1.88,,
June,,,,,,,0.79,3.42,0.65,2.37,,
July,,,,,,,1.05,1.49,2.68,2.62,,
August,,,,,,,2.91,2.02,1.32,5.64,,
September,,,,,,,0.58,0.40,1.60,1.80,,
October,,,,,,,4.25,3.97,1.20,2.50,,
November,,,,,,,2.59,2.06,1.34,1.78,,
December,,,,,,,1.91,2.96,0.80,2.91,,
Total,,,,,,,21.53,23.39,18.03,28.73,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,21.53,23.39,18.03,28.73,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,,
