RAWDON-SEWAGE-WORKS,,,,,,,,,,,,,,,,,,,,
Grid ref,SE213380,Long,-1.6778037,Lat,53.83782,Elevation,150,ft.,,,,,,,,,,,,
Station no,3290/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,2.46,,2.33,6.07,1.1,1.43,,,0.31,2.11,2.3,4.81,1.63,2.36,2.9,5.3
February,,,,,2.68,,3.73,1.63,1.29,4.9,,0.4,2.32,2.42,2.28,1.4,3.09,4.46,0.1,1.97
March,,,,,0.47,,5.08,1.18,1.15,1,,1.6,0.55,1.49,2.48,0.82,1.72,1.24,1.41,2.21
April,,,,,1.57,,2.82,1.73,2.4,2.98,,1.65,1.96,0.29,0.86,2.6,0.2,0.53,3.36,0.87
May,,,,1.35,3.1,,4.46,1.22,2.19,1.66,,1.81,1.16,2.86,2.04,0.77,0.92,3.78,0.93,1.36
June,,,,1.59,2.58,,2.82,3.16,0.62,0.54,,1.34,2.39,1.73,1.51,2.55,1.62,3.76,1.25,0.92
July,,,,2.57,2.08,,1.71,0.78,2.45,2.9,,1.38,2.88,1.37,0.69,4,2.62,3.7,1.94,3.39
August,,,,3.23,3.02,,0.23,3.86,2.48,4.81,,3.16,3.59,6.49,0.75,5.68,5.2,3.24,0.5,3.81
September,,,,4.95,1.68,,1.59,1.16,1.09,3.2,,2.65,2.06,1.53,1.04,3.67,4.56,3.14,0.1,2.99
October,,,,3.26,4.2,,1.08,1.07,3.16,1.26,,3.18,1.81,3.96,1.39,1.32,2.1,2.21,2.22,4.64
November,,,,4.97,0.38,,2.4,1.16,3.99,5.12,,1.4,2.88,4.97,2.32,1.21,1.92,0.79,3.51,5.32
December,,,,3.29,1.68,,2.91,2.33,2.74,1.54,,1.78,1.27,2.81,3.29,3.73,3.33,3.91,4.95,2.79
Total,,,,,25.9,,31.16,25.35,24.66,31.34,,,23.18,32.03,20.95,32.56,28.91,33.12,23.17,35.57
,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s records and is the sewage works. Altitudes match,,,,,,,,,,,,,,,,,,,,
