"DUNDEE (MAYFIELD)",,,,,,,,,,,,
Grid ref,NO435310,Long,-2.918612,Lat,56.467730,,,,,,,
Station no,5593,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.34,1.63,0.66,1.57,1.42,2.70,2.93,1.84,0.91,4.57,,
February,2.95,0.56,0.66,2.81,1.52,1.25,4.04,2.71,0.30,2.72,,
March,2.32,2.04,0.32,2.36,1.58,1.62,2.07,5.73,1.33,2.31,,
April,1.82,1.08,2.05,1.14,0.74,1.09,0.74,1.50,2.51,2.64,,
May,1.98,2.41,1.73,3.98,2.09,0.82,1.68,3.05,0.73,2.09,,
June,2.20,2.50,1.04,2.04,1.22,3.01,0.91,2.95,2.02,2.77,,
July,4.02,1.91,3.40,2.95,0.93,4.41,5.21,4.06,3.07,3.63,,
August,3.23,2.62,1.90,3.23,0.49,5.15,3.87,2.92,0.76,4.54,,
September,1.75,0.92,2.27,2.63,1.20,4.48,1.33,2.55,0.76,1.75,,
October,0.58,2.52,1.38,5.65,1.95,1.15,1.57,1.93,1.96,6.16,,
November,6.80,2.07,2.48,4.17,1.86,0.90,1.33,1.00,4.77,3.33,,
December,2.19,2.10,2.82,3.43,5.53,3.60,4.81,4.43,5.62,2.31,,
Total,33.18,22.36,20.71,35.96,20.53,30.18,30.49,34.67,24.74,38.82,,
Calc annual,33.18,22.36,20.71,35.96,20.53,30.18,30.49,34.67,24.74,38.82,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
