LLANYMYNECH-PENTREHEYLIN-HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ256194,Long,-3.1041211,Lat,52.767051,Elevation,220,ft.,,,,,,,,,,,,
Station no,4255/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,3.6,1.59,2.61,0.89,4.49,2.99,2.88,6.04,3.38,2.7,4.33,6.02,3.73,2.16,3.85,1.81,7.41,,
February,,0.07,2.37,0.17,3.29,1.76,4.45,0.51,2.11,2.57,2.86,1.03,2.44,1.67,2.97,3.04,2.11,2.08,,
March,,2.48,1.68,1.95,0.81,1.75,1.23,0.35,1.72,2.27,2.86,2.21,0.69,0.89,1.03,1.02,6.12,1.42,,
April,,4.26,0.55,2.89,2.27,1.66,1.26,0.09,1.89,2.28,0.95,2.15,1.91,1.01,1.55,1,2.92,1.52,,
May,,3.76,1.41,1.64,0.89,1.18,1.61,1.35,0.98,2.51,2.45,5.06,3.58,2.43,3.43,2.11,2.93,1.64,,
June,,0.38,1.49,1.05,2.93,4.1,1.16,1.4,1.46,1.7,1.24,0.84,3.28,2.03,2.65,2.89,2.04,2.93,,
July,,7.98,1.92,1.19,0.51,3.96,1.92,2.54,6,3.45,1.12,2.55,1.84,1.74,1.96,1.71,1.79,1.37,,
August,,1.08,0.73,2.31,1.39,0.67,1.19,2.76,1.03,0.16,4.42,4.39,3.42,2.61,3.7,4.82,0.47,3.15,,
September,,2.17,0.83,1.69,4.77,3.36,1.14,0.91,0.58,1.73,0.77,2.63,4.05,3.08,1.87,3.75,1.85,2.06,,
October,,4.43,4.37,3.11,4.92,1.81,2.67,4.7,2.43,4.74,2.95,1.76,4.65,3.79,4.42,1.39,0.48,2,,
November,,2.06,0.74,1.57,4.55,3.17,1.41,4,5.04,8.19,2.94,0.91,3.04,5,0.23,5.22,3.09,2.51,,
December,,1.5,0.93,4.63,2.43,3.17,1.32,2.9,2.19,1.63,1.79,4.3,2.29,1.86,3.63,2.49,2.04,4.02,,
Total,,33.77,18.61,24.81,29.65,31.08,22.35,24.39,31.47,34.61,27.05,32.16,37.21,29.84,29.6,33.29,27.65,32.11,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
NGR is Pentreheylin Hall. Altitudes match. Gauge ws originally flagged as being in Shropshire with Station No. 2303/5 and was properly flagged as Montgomeryshire in 1942. The gauge did not move.,,,,,,,,,,,,,,,,,,,,
