LYMM-STATHAM-LODGE-DAILY-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ668876,Long,-2.5006009,Lat,53.384194,Elevation,42,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,4.23,3.41,1.68,0.54,0.6,2.43,3.89,3.41,1.54,4.46,2.53,1.32,1.05,2.96,1.9,,,,,,,,
February,,,,,,,,3.38,1.46,3.06,1.74,4.25,2,1.69,2.5,2.59,0.84,0.57,0.67,1.83,0.58,0.11,,,,,,,,
March,,,,,,,,2.02,1.33,1.31,1.87,2.89,1.96,1.17,2.23,1.97,1.88,1.61,1.91,2.06,2.33,1.33,,,,,,,,
April,,,,,,,,2.4,1.61,2.81,1.01,1.1,3.32,1.67,0.95,1.28,1.58,0.89,1.02,2.21,1.34,2.27,,,,,,,,
May,,,,,,,,2.7,4.25,2.39,2.22,3.28,2.17,0.84,1.73,2.22,5.88,1.82,0.7,2.95,1.94,2.17,,,,,,,,
June,,,,,,,,1.15,2.51,4.05,2.91,1.88,5.17,4.16,1.02,2.65,1.67,1.25,2.48,1.39,3.13,2.54,,,,,,,,
July,,,,,,,,6.69,0.59,3.18,4.06,3.65,4.62,2.42,3.2,1.4,2.75,0.9,5.23,3.53,1.91,2.49,,,,,,,,
August,,,,,,,,4.89,4.55,4.42,2.39,3.92,2.93,2,1.63,1.8,1.69,1.43,2.79,5.2,3.52,5.07,,,,,,,,
September,,,,,,,,2.82,3.43,3.35,3.44,2.03,2.04,4.66,2.8,3.91,4.47,4.39,1.01,2.62,0.95,3.28,,,,,,,,
October,,,,,,,,3.54,3.03,1.48,3.27,3.04,3.36,4.93,1.61,5.71,5.05,1.99,1.17,2.61,1.83,3.7,,,,,,,,
November,,,,,,,,5.69,1.95,0.84,3.36,2.83,5.41,3.2,1.97,2.87,2.28,1.12,4.83,2.06,5.47,2.73,,,,,,,,
December,,,,,,,,2.84,2.38,1.6,5.5,3.48,4.67,1.93,3.03,1.69,4.1,2.5,2,2.21,0.48,4.98,,,,,,,,
Total,,,,,,,,42.35,30.5,30.17,32.31,32.95,40.08,32.56,26.08,29.63,36.65,21,25.13,29.72,26.44,32.57,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Statham Lodge. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"There are duplicated readings between the two guages, 19 out of 119 readings, however, the duplicated readings are fairly random and the readings for the gaugee are generally very close, which suggests the duplicated readings are likely to be coincidental.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
