LYMM-STATHAM-LODGE-MONTHLY-GAUGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ668876,Long,-2.5006009,Lat,53.384194,Elevation,42,ft.,,,,,,,,,,,,
Station no,RR2272,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,3.82,3.45,1.54,4.47,2.61,1.38,1.06,2.98,1.84,,,,,,,,
February,,,2.07,1.79,2.54,2.62,0.85,0.52,0.71,1.87,0.58,0.11,,,,,,,,
March,,,1.96,1.26,2.27,2.03,1.96,1.65,1.94,2.1,2.33,1.33,,,,,,,,
April,,,3.35,1.73,0.97,1.29,1.62,0.89,1.07,2.28,1.45,2.25,,,,,,,,
May,,,2.22,0.9,1.75,2.25,5.87,1.81,0.7,2.99,1.97,2.18,,,,,,,,
June,,,5.22,4.31,1.02,2.65,1.69,1.25,2.52,1.41,3.17,2.55,,,,,,,,
July,,,4.64,2.52,3.26,1.41,2.8,0.93,5.26,3.52,1.95,2.47,,,,,,,,
August,,,2.97,1.96,1.66,1.85,1.71,1.43,2.82,5.2,3.56,5.06,,,,,,,,
September,,,2.04,4.7,2.82,3.92,4.47,4.41,1.01,2.65,1,3.26,,,,,,,,
October,,,3.36,4.96,1.62,5.75,5.1,2.05,1.19,2.64,1.95,3.72,,,,,,,,
November,,,5.44,3.26,1.99,3,2.28,1.13,4.87,2.13,5.45,2.76,,,,,,,,
December,,,4.69,1.95,3.02,1.69,4.13,2.49,2.1,2.28,0.49,5.03,,,,,,,,
Total,,,,33.16,26.37,30,36.95,21.17,25.57,30.13,26.88,32.56,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Statham Lodge. Altitudes match.,,,,,,,,,,,,,,,,,,,,
"There are duplicated readings between the two guages, 19 out of 119 readings, however, the duplicated readings are fairly random and the readings for the gaugee are generally very close, which suggests the duplicated readings are likely to be coincidental.",,,,,,,,,,,,,,,,,,,,
