CHATHAM LUTON WATER WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ775663,Long,0.548532,Lat,51.368021,Elevation,88,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,0.32,2.27,3.07,0.63,0.5,2.09,3.31,0.66,3.36,1.1,1.15,0.76,2.5,1.05,2.65,3.32,0.36,2.87,0.84,1.24,2.87,3.84,2.41,1.52,2.25,1.3,2.49,1.64,2.49,1.84,2.61,0.8,2.77,1.58,1.97,1.57,1.86,1.13,4.63,4.95,2.74,4,1.93,2.76,2.28,4.37,1.2,1.96,1.22,2.14,2.98,0.93,1.43,2.29,2.13,1.06,1.35,2.82,4.69,1.27,2.22,2.16,2.47
February,,,,,,,,,0.91,1.7,5.27,1.26,1.28,1.27,2.84,0.68,1.75,1.34,0.92,0.89,3.2,1.1,1.24,0.69,2.26,3.65,3.44,0.41,0.64,2.09,0.36,0.72,1.62,3.27,0.95,3.45,2.15,3.63,1.11,0.59,0.78,1.82,0.97,1.49,0.21,3.55,1.6,4.08,0.87,1.36,1.61,2.1,1.07,1.55,1.13,1.47,2.45,1.36,1.5,0.96,3.86,5.74,1.01,1.1,1.86,2.06,0.51,3.35,2,0,1.85
March,,,,,,,,,1.71,0.59,1.02,2.1,1.17,1.88,1.41,2.13,1.37,0.7,2.03,3.32,1.48,2.46,2.96,2.3,5.52,0.95,3.82,1.41,0.83,2.66,0.72,1.24,1.85,1.96,0.86,0.98,0.29,2.99,1.9,0.03,1.31,0.08,1.29,2.6,2.6,0.56,0.96,3.73,0.58,1.48,3.85,1.44,2.72,0.34,0.12,1.81,1.35,4.24,0.67,0.81,1.22,2.99,3.13,0.24,2.58,1.18,0.56,1.05,1.09,1.77,1.49
April,,,,,,,,,1.47,2.68,1.19,1.75,0.43,1.82,0.71,2.31,0.56,2.45,2.44,1.6,1.63,2.04,0.02,2.79,1.16,1.35,1.32,2.1,1.84,3.4,2.91,1.51,2.22,1.34,3.04,1.81,5.82,1.46,2.2,1.26,1.42,3.94,2.01,0.68,2.16,2.94,1.54,2.32,0.41,2.58,1.69,1.8,1.38,1.3,1.68,1.29,2.32,1.35,1.32,1.52,2.2,2.47,0.98,2.32,0.23,0.2,1.03,0.12,1.65,2.29,0.54
May,,,,,,,,,3.04,1.12,1.13,0.79,2.49,2.4,1.33,0.96,1.6,2.08,1.48,1.1,2.9,0.87,0.86,1.38,1.54,4.71,1.71,1.82,1.62,0.18,0.59,1.47,0.48,3.08,2.65,2.29,1.3,0.78,2.77,1.13,3.42,2.71,2.6,1.95,0.74,1.7,0.44,3.09,2.34,1.9,1.14,1.8,2.92,2.72,0.46,2.23,3.19,1.45,1.85,1.71,1.88,2.26,1.07,1.89,2.06,3.9,0.39,1.38,1.81,0.78,2.94
June,,,,,,,,2.39,1.85,1.06,2.36,0.59,2.03,5.88,1.24,5.34,3.06,2.75,1.22,2.72,2.44,1.83,2.81,0.3,1.17,1.3,2.01,1.4,0.68,1.13,1.38,0.2,1.18,0.8,1.53,0.3,2.66,2.37,2.46,0.96,1.16,1.02,0.81,1.23,1.77,2.13,4.44,2.4,0.45,1.54,0.75,1.77,0.68,1.47,1.36,0.85,2.09,2.95,2.62,0.61,0.95,1.19,1.66,2.38,3.87,2.5,2.28,1.07,3.94,0.75,1.74
July,,,,,,,,0.53,0.58,1.77,1.13,1.23,1.54,4.7,2.55,0.5,2.27,1.83,2.57,3.48,2.8,0.38,1.13,2.4,1.19,2.58,1.19,6.4,5.33,2.27,2.92,0.44,2.55,0.88,3.27,3.07,1.77,3.83,1.68,1.07,3.03,1.94,2.67,2.68,1.67,0.64,2.68,1.71,1.48,1.92,4.73,2.24,2.53,1.89,2.48,2.51,2.35,3.67,1.02,1.7,2.99,2.71,0.81,2.93,2.36,2.7,4.36,3.01,1.79,1.57,3.46
August,,,,,,,,2.45,1.42,1.17,2.04,1.68,3.09,2.91,1.91,1.96,0.63,1.6,3.24,2.22,2.39,0.95,4.2,1.05,0.49,1.76,3.21,5.48,1.19,2.23,1.6,0.6,2.76,1.48,2.81,2.06,1.28,3.76,2.72,1.94,3.49,3.62,0.58,0.71,1.35,2.54,1.12,2.35,1.39,2.78,0.28,3.41,2.1,1.72,3.07,2.39,5,0.06,2.99,1.17,1.52,3.64,2.7,1.36,3.21,2.05,2.98,2.22,5.04,0.72,4.45
September,,,,,,,,2.18,0.32,1.94,0.63,1.09,0.86,1.66,0.86,1.62,1.53,0.53,1.66,3.1,0.8,1.24,2.35,1.6,0.55,2.39,0.86,0.63,3.88,0.95,3.84,0.95,2.54,1.56,2.66,2.03,0.72,4.28,0.65,0.56,3.36,1.96,1.87,2.62,1.37,3.98,2.32,2.08,2.67,1.08,0.84,0.39,2.7,1.79,2.88,0.75,2.55,1.25,1.47,0.79,2.19,4.17,3.48,2.86,1.6,2.03,1.82,2.54,4.12,0.21,3.82
October,,,,,,,,0.34,2.08,1.98,1.81,2.28,1.72,4.15,1.46,1.13,3.44,4.01,1.44,3.9,1.81,4.6,2.6,4.14,2.17,1.68,2.43,2.98,2.69,0.58,0.75,0.83,1.62,5.21,3.73,3.3,2.76,1.15,3.75,3.16,1.12,0.57,5.76,1.54,1.68,3.08,2.22,2.35,2.34,8.06,2.99,1.05,3.05,3.08,5.04,2.07,1.71,0.5,1.61,7.32,0.27,1.09,2.15,2.54,1.66,4.43,1.11,1.23,3.22,1.94,6.18
