AYR LANFINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS547364,Long,-4.307653,Lat,55.599468,Elevation,500,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5229/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,4.8,8.34,5.04,6.76,3.3,5.05,5.19,7.62,4.6,2.76,0.84,6.04,4.54,6.77,4.02,4.27,,8.28,6.38,3.26,5.39,5.83,4,4.5,2.97,3.33,5.51,4.75,1.61,4.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,4.85,0.03,4.7,0.83,6.86,2.01,5.3,2.31,5.93,1.68,2.23,1.6,4.6,1.75,6.63,,,3.84,5.75,4.69,4.17,2.29,2.05,4.09,2.29,1.88,3.23,4.08,2.46,3.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,1.17,3.49,3.59,2.71,2.61,3.15,1.32,3.9,4.34,6.41,2.98,2.16,2.35,0.79,3.24,,,4.05,3.23,4.42,4.35,2.42,1.05,3.37,1.88,3.1,5.01,1.33,2.82,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,2.43,3.96,2.73,3.72,3.42,1.25,2.16,0.9,1.97,2.24,1.98,1.32,1.57,3.6,1.35,,,3.88,5.43,4.55,3.04,2.33,2.27,1.86,3.56,1.11,3.3,1.99,3.1,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,3.41,2.71,2.57,3.96,0.8,2.03,1.49,4.86,0.69,1.2,3.95,2.83,4.07,3.75,4.68,,4.38,1.58,1.95,2.21,1.77,2.71,2.33,3.13,4.59,2.6,2.92,3.33,2.12,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,6.7,2,2.53,2.43,5.22,2.12,4.02,6.32,2.59,1.31,1.67,1.02,4.03,4.6,4.75,3.61,3.3,7.09,1.46,3.27,2.22,3.59,1.37,5.52,2.8,3.11,2.37,2.67,3.79,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,4.66,5.46,5.07,2.9,2.47,7.36,5.3,5.91,4.8,4.57,4.61,4.36,2.82,3.56,4.47,3.59,2.17,3.81,2,5.55,4.56,5.11,6.56,5.36,1.33,5.51,5.33,4.95,7.34,3.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,1.74,2.16,4.7,5.05,3.01,5.06,3.23,3.73,2.36,2.87,7.29,5.52,5.15,4.5,1.79,3.15,0.13,7.34,5,6.25,6.03,4.45,4.79,5.54,1.98,6.59,5.36,5.59,1.25,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,1.57,6.88,1.11,5.57,7.28,4.49,3.61,4.4,2.28,6.11,1.81,5.84,2.78,5.16,5.69,8.89,5.84,7.28,1.78,13.67,4.57,3.29,5.38,7.84,4.46,4.44,4.05,4.45,1.56,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,5.1,7.54,3.83,8.92,9.63,6.84,3.36,11.66,1.92,3.66,4.52,7.38,8.76,5.19,6.44,0.28,2.52,7.45,6.88,4.3,1.75,3.68,2.95,11.43,3.09,4.69,5.76,4.55,7.41,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
