BETHERSDEN-PRIMARY-SCHOOL,,,,,,,,,,
Grid ref,TQ925402,Long,0.749736,Lat,51.128723,Elevation,112,ft,,
Station no,328/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,3.02
February,,,,,,,,,,1.9
March,,,,,,,,,,1.77
April,,,,,,,,,1.71,0.71
May,,,,,,,,,0.74,2.08
June,,,,,,,,,1.22,1.43
July,,,,,,,,,3.37,2.33
August,,,,,,,,,0.37,5.18
September,,,,,,,,,0.14,2.61
October,,,,,,,,,2.52,6.94
November,,,,,,,,,5.56,5.33
December,,,,,,,,,6.75,3.73
Total,,,,,,,,,,37.03
