HAMBLEDON-CHART-COTTAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SU963382,Long,-0.62500457,Lat,51.134986,Elevation,275,ft.,,,,,,,,,,,,
Station no,171/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,3.17,3.22,6.47,1.99,2.31,2.82,2.77,5.08,0.99,0.99
February,,,,,,,,,,,3.2,0.99,1.64,0.73,2.31,2.5,1.33,1.79,1.44,5.29
March,,,,,,,,,,,3.08,2.46,0.64,0.08,1.26,1.31,5.93,0.91,1.25,1.84
April,,,,,,,,,,,1.48,2.04,1.2,1.42,1.13,2.41,2.12,2.76,1.79,2.62
May,,,,,,,,,,0.93,2.75,3,2.96,0.73,1.99,3.15,1.43,2.79,2.42,1.82
June,,,,,,,,,,1.17,1.92,0.2,1.73,1.86,2.27,2.82,3.44,3.06,0.53,1.32
July,,,,,,,,,,2.43,2.98,1.89,2.16,1.9,6.38,1.28,0.84,0.9,1.04,4.2
August,,,,,,,,,,0.02,4.53,3.77,1.52,1.52,1.49,5.3,0.49,3.54,0.9,4.68
September,,,,,,,,,,2.01,0.2,1.9,1.61,2.32,2.41,4.04,1.24,2.06,1.62,
October,,,,,,,,,,4.01,1.11,3.86,3.35,4.24,4.01,1.2,0.78,2.08,8.03,
November,,,,,,,,,,7.36,3.99,1.91,1.67,4.54,0.2,6.06,1.31,1.41,3.57,
December,,,,,,,,,,1.76,2.56,3.57,2.17,2.58,4.25,3.69,3.49,4.51,1.57,
Total,,,,,,,,,,,30.97,28.81,27.12,23.91,30.01,36.58,25.17,30.89,25.15,
,,,,,,,,,,,,,,,,,,,,
"NGR is Chart Cottage. Stated altitude varies, OS figure used.",,,,,,,,,,,,,,,,,,,,
"1940s record has an NGR of SU969381, 600m E and is not Chart Cottage.",,,,,,,,,,,,,,,,,,,,
"MIDAS has NGR 250m W, again not Chart Cottage",,,,,,,,,,,,,,,,,,,,
